issue_id	publish_year	publish_month	publish_date	icon_url	HÁ	L%	S%
6787	1963	11	1963/11	1355032-01_icon.jpg	16.32358111	46.34841176	35.02080787
6694	1963	9	1963/9	1355017-uxm_v1_001_01_icon.jpg	4.921435143	64.07117647	14.83052004
6946	1964	1	1964/1	1355038-01_icon.jpg	29.53370166	61.82196078	13.9439571
6837	1964	1	1964/1	6261-2189-6837-1-amazing-spider-man-a_icon.jpg	32.32381306	56.58745098	14.61220213
6938	1964	1	1964/1	6346-2128-6938-1-avengers-the_icon.jpg	31.4940307	50.85058824	21.05225363
6944	1964	1	1964/1	6352-2007-6944-1-tales-of-suspense_icon.jpg	20.69592783	50.24468627	26.50385948
7431	1964	11	1964/11	1377429-01_icon.jpg	29.10816777	57.43019608	12.51923024
7032	1964	3	1964/3	1356279-01_icon.jpg	19.48793649	46.57009804	34.36965148
7114	1964	5	1964/5	1357837-01_icon.jpg	320.2529851	49.96843137	7.197093067
110949	1964	5	1964/5	139072-18066-110949-1-strange-tales_icon.jpg	32.2018425	54.0654902	30.76673525
7207	1964	7	1964/7	1376114-01_icon.jpg	337.4759685	52.53294118	5.672458093
7200	1964	7	1964/7	6593-2045-7200-1-fantastic-four_icon.jpg	46.02040402	55.08058824	32.21848277
7310	1964	9	1964/9	1377294-01_icon.jpg	14.47333519	51.60980392	23.21974148
7504	1965	0	1965/0	6878-2129-7504-1-fantastic-four-annua_icon.jpg	348.3083141	51.34039216	13.95851131
7559	1965	1	1965/1	1377485-01_icon.jpg	34.34695874	44.69133333	15.87893955
119631	1965	1	1965/1	252314-2293-119631-1-marvel-tales_icon.jpg	33.79814887	58.6245098	25.65173092
8170	1965	11	1965/11	7424-2133-8170-1-x-men_icon.jpg	3.263374985	52.71215686	20.50769588
8238	1965	12	1965/12	7484-2133-8238-1-x-men_icon.jpg	11.19974534	45.8245098	13.44215999
7667	1965	3	1965/3	7012-2045-7667-1-fantastic-four_icon.jpg	23.80491737	46.61562745	19.09748351
7674	1965	3	1965/3	7019-2133-7674-1-x-men_icon.jpg	9.166758941	65.08392157	20.28617638
7782	1965	5	1965/5	7111-2133-7782-1-x-men_icon.jpg	23.44570569	49.07960784	11.68489769
7900	1965	7	1965/7	7207-2133-7900-1-x-men_icon.jpg	12.1725977	47.09511765	31.87329272
8037	1965	9	1965/9	7314-2133-8037-1-x-men_icon.jpg	351.3445378	60.18588235	16.17516695
8315	1966	1	1966/1	7540-2133-8315-1-x-men_icon.jpg	29.3389461	49.01498039	24.87898858
8885	1966	10	1966/10	8049-2133-8885-1-x-men_icon.jpg	42.79093842	45.25043137	17.24555112
8951	1966	11	1966/11	8108-2133-8951-1-x-men_icon.jpg	22.29427774	44.74198039	23.49414354
9025	1966	12	1966/12	8175-2133-9025-1-x-men_icon.jpg	21.53066205	55.31392157	27.86980197
8375	1966	2	1966/2	7595-2133-8375-1-x-men_icon.jpg	0.757107921	41.74268627	49.15281625
8435	1966	3	1966/3	7648-2133-8435-1-x-men_icon.jpg	29.02396923	34.28264706	25.28146922
8498	1966	4	1966/4	7703-2133-8498-1-x-men_icon.jpg	1.68251102	54.28607843	8.076228548
8553	1966	5	1966/5	7751-2133-8553-1-x-men_icon.jpg	11.35026732	42.44880392	33.37496749
8621	1966	6	1966/6	7813-2133-8621-1-x-men_icon.jpg	20.3620011	46.83535294	24.6427305
8674	1966	7	1966/7	7859-2133-8674-1-x-men_icon.jpg	9.532622864	39.36813725	38.01944939
8740	1966	8	1966/8	7917-2133-8740-1-x-men_icon.jpg	14.33698631	44.73288235	12.84325212
8819	1966	9	1966/9	7989-2133-8819-1-x-men_icon.jpg	356.6637838	42.34709804	38.22555149
9098	1967	1	1967/1	8240-2133-9098-1-x-men_icon.jpg	18.56833476	51.69464706	40.16657919
9695	1967	10	1967/10	8784-2133-9695-1-x-men_icon.jpg	347.127264	45.23470588	10.84149339
9761	1967	11	1967/11	8843-2008-9761-1-tales-to-astonish_icon.jpg	25.24786497	38.44043137	17.18972365
9763	1967	11	1967/11	8845-2133-9763-1-x-men_icon.jpg	7.861429208	53.48764706	16.08722962
9825	1967	12	1967/12	8901-2133-9825-1-x-men_icon.jpg	32.26429958	36.66639216	15.47680036
255017	1967	2	1967/2	1605012-fantastic_10_icon.jpg	32.11512459	60.76372549	7.761425252
9162	1967	2	1967/2	8297-2133-9162-1-x-men_icon.jpg	22.85926529	55.78882353	18.50787442
9234	1967	3	1967/3	8363-2133-9234-1-x-men_icon.jpg	342.8106915	39.54870588	17.78477172
9302	1967	4	1967/4	8426-2133-9302-1-x-men_icon.jpg	18.98570593	49.12329412	23.7582266
111072	1967	5	1967/5	2199709-156_icon.jpg	44.01874651	39.20282353	49.02788115
9364	1967	5	1967/5	8482-2133-9364-1-x-men_icon.jpg	10.65669446	49.27882353	16.22619588
9434	1967	6	1967/6	8547-2133-9434-1-x-men_icon.jpg	17.25702494	36.47741176	20.68279698
9493	1967	7	1967/7	8596-2133-9493-1-x-men_icon.jpg	358.9192426	57.27666667	9.962412054
9565	1967	8	1967/8	8663-2133-9565-1-x-men_icon.jpg	27.84770749	42.5065098	16.13353802
9625	1967	9	1967/9	8718-2133-9625-1-x-men_icon.jpg	23.09044863	49.93294118	10.85377251
9888	1968	1	1968/1	8957-2133-9888-1-x-men_icon.jpg	342.9375704	51.51254902	6.464579475
123674	1968	10	1968/10	315180-2133-123674-1-x-men_icon.jpg	34.70905046	59.71215686	24.94111005
114340	1968	11	1968/11	191722-2133-114340-1-x-men_icon.jpg	51.12499399	43.43147059	14.09184178
114405	1968	12	1968/12	192484-2133-114405-1-x-men_icon.jpg	346.1548952	40.41276471	12.16801525
248276	1968	2	1968/2	1547627-fantastic52_icon.jpg	23.88600658	59.0527451	6.553145845
249728	1968	2	1968/2	1570406-fantastic_53_icon.jpg	8.477255779	46.73666667	8.439022139
9945	1968	2	1968/2	9004-2133-9945-1-x-men_icon.jpg	2.485694302	39.26360784	39.41163898
105594	1968	3	1968/3	191952-2133-105594-2-x-men_icon.jpg	26.25818485	45.47607843	21.73001966
114499	1968	4	1968/4	193560-2133-114499-1-x-men_icon.jpg	36.93223819	48.00509804	17.90251035
114520	1968	5	1968/5	194049-2133-114520-1-x-men_icon.jpg	341.0237574	44.73333333	28.0441834
113987	1968	6	1968/6	184750-2128-113987-1-the-avengers_icon.jpg	351.1129582	63.40294118	6.445926759
123659	1968	6	1968/6	315146-2133-123659-1-x-men_icon.jpg	55.98265956	48.73823529	19.3957315
123671	1968	7	1968/7	315172-2133-123671-1-x-men_icon.jpg	354.7601294	45.86392157	12.15531025
123672	1968	8	1968/8	315173-2133-123672-1-x-men_icon.jpg	48.24138033	45.68319608	24.724284
9987	1969	1	1969/1	9036-2128-9987-1-avengers-the_icon.jpg	36.47440528	47.95133333	20.03919006
10002	1969	1	1969/1	9051-2133-10002-1-x-men_icon.jpg	31.83510991	50.06254902	8.877379938
10475	1969	10	1969/10	9498-2133-10475-1-x-men_icon.jpg	41.25008852	45.4775098	27.39673521
10517	1969	11	1969/11	9538-2353-10517-1-marvel-super-heroes_icon.jpg	23.02707815	40.37476471	25.57348722
10526	1969	11	1969/11	9547-2133-10526-1-x-men_icon.jpg	25.03662612	40.84633333	26.70443935
10580	1969	12	1969/12	9598-2133-10580-1-x-men_icon.jpg	45.35148847	43.01952941	18.7586486
10056	1969	2	1969/2	9105-2133-10056-1-x-men_icon.jpg	28.36942846	40.94852941	26.83066978
10107	1969	3	1969/3	9152-2133-10107-1-x-men_icon.jpg	12.02390352	41.52766667	22.18643748
10160	1969	4	1969/4	9200-2411-10160-1-silver-surfer-the_icon.jpg	19.24647685	53.89058824	8.871482152
10163	1969	4	1969/4	9203-2133-10163-1-x-men_icon.jpg	44.7934179	35.64894118	20.0486663
10215	1969	5	1969/5	9252-2133-10215-1-x-men_icon.jpg	30.62229958	46.74803922	20.48319107
10268	1969	6	1969/6	9301-2413-10268-1-sub-mariner_icon.jpg	35.21019771	48.75684314	31.36255584
10270	1969	6	1969/6	9303-2133-10270-1-x-men_icon.jpg	40.21262099	39.533	15.94185647
10311	1969	7	1969/7	9341-2353-10311-1-marvel-super-heroes_icon.jpg	32.02983629	40.63180392	21.3238736
10317	1969	7	1969/7	9347-2133-10317-1-x-men_icon.jpg	30.28616578	56.38862745	31.29692741
10366	1969	8	1969/8	9394-2133-10366-1-x-men_icon.jpg	11.00983573	39.51145098	23.12836586
10409	1969	9	1969/9	9435-2353-10409-1-marvel-super-heroes_icon.jpg	13.86927682	40.06441176	12.87510063
10410	1969	9	1969/9	9436-2293-10410-1-marvel-tales_icon.jpg	31.83637376	48.18882353	12.42375785
10417	1969	9	1969/9	9443-2133-10417-1-x-men_icon.jpg	40.55023278	42.18409804	20.15772136
10635	1970	1	1970/1	1316939-xcover_icon.jpg	34.48095891	44.86215686	9.881685512
10625	1970	1	1970/1	9633-2353-10625-1-marvel-super-heroes_icon.jpg	36.43286573	49.70490196	8.070770627
11168	1970	12	1970/12	10148-2133-11168-1-x-men_icon.jpg	31.84263106	48.3665098	19.39715214
138675	1970	12	1970/12	539692-x_menspecial1970_01_00fc_icon.jpg	22.0608	54.74490196	25.72562511
10676	1970	2	1970/2	9683-2133-10676-1-x-men_icon.jpg	7.782139002	40.602	10.82714944
10715	1970	3	1970/3	9721-2353-10715-1-marvel-super-heroes_icon.jpg	25.74984723	50.08137255	12.21320973
10724	1970	3	1970/3	9730-2133-10724-1-x-men_icon.jpg	46.72539657	45.92578431	22.48747446
10807	1970	5	1970/5	9811-2353-10807-1-marvel-super-heroes_icon.jpg	38.89109441	43.40237255	25.9685361
10903	1970	7	1970/7	9903-2353-10903-1-marvel-super-heroes_icon.jpg	40.3248525	35.89884314	31.16922769
123954	1970	8	1970/8	316896-20665-123954-1-marvel-s-greatest-co_icon.jpg	29.12525738	44.09162745	17.04058349
11214	1971	1	1971/1	10185-2127-11214-1-amazing-spider-man-_icon.jpg	40.1168456	47.48486275	22.98490995
11728	1971	10	1971/10	10649-2133-11728-1-x-men_icon.jpg	48.70338165	34.29554902	37.24755914
138679	1971	11	1971/11	539726-x_men_special__02_p00fc_icon.jpg	42.82399609	44.12147059	22.29429005
11855	1971	12	1971/12	10764-2133-11855-1-x-men_icon.jpg	27.51244695	50.13537255	23.12519858
11812	1971	12	1971/12	2183068-09_icon.jpg	59.32742755	46.04486275	20.32425324
11288	1971	2	1971/2	10253-2133-11288-1-x-men_icon.jpg	31.55790951	45.80211765	22.69661305
11391	1971	4	1971/4	10351-2133-11391-1-x-men_icon.jpg	27.44920993	47.17411765	13.25751908
11499	1971	6	1971/6	10447-2133-11499-1-x-men_icon.jpg	32.73121659	38.51762745	23.58589065
11611	1971	8	1971/8	10543-2133-11611-1-x-men_icon.jpg	38.82340176	47.19192157	20.67784948
12592	1972	10	1972/10	11356-2133-12592-1-x-men_icon.jpg	26.91682228	47.1787451	21.09973085
12757	1972	12	1972/12	11487-2133-12757-1-x-men_icon.jpg	17.48033349	41.42741176	12.06939802
12004	1972	2	1972/2	10888-2133-12004-1-x-men_icon.jpg	41.97755495	43.876	24.2270999
12046	1972	3	1972/3	10919-2469-12046-1-amazing-adventures_icon.jpg	45.69651729	30.31152941	27.2629065
12123	1972	4	1972/4	10983-2406-12123-1-incredible-hulk-the_icon.jpg	44.70909782	51.1227451	16.87941783
12133	1972	4	1972/4	10992-2133-12133-1-x-men_icon.jpg	27.99891315	38.10778431	45.63747719
