issue_id	publish_year	publish_month	publish_date	icon_url	HÁ	L%	S%
300144	2005	9	2005/9	2060305-104_icon.jpg	36	46	17
106293	2005	9	2005/9	89413-18078-106293-1-new-x-men-vol-2_icon.jpg	15	48	1
186518	2006	1	2006/1	1052913-xposed_icon.jpg	24	53	40
275070	2006	1	2006/1	1866850-05_icon.jpg	34	42	7
275795	2006	1	2006/1	1872731-x_men_deluxe129_icon.jpg	33	34	25
299988	2006	1	2006/1	2059591-49_icon.jpg	17	49	17
300148	2006	1	2006/1	2060309-108_icon.jpg	47	58	12
106207	2006	1	2006/1	88718-10731-106207-1-x-men_icon.jpg	326	32	3
106250	2006	1	2006/1	88926-18136-106250-1-x-men-the-198-files_icon.jpg	39	58	8
106297	2006	1	2006/1	89421-18078-106297-1-new-x-men-vol-2_icon.jpg	17	30	25
275079	2006	10	2006/10	1866859-14_icon.jpg	6	51	11
275881	2006	10	2006/10	1873486-x_men_deluxe138_icon.jpg	17	47	25
299997	2006	10	2006/10	2059602-58_icon.jpg	10	45	11
300157	2006	10	2006/10	2060320-117_icon.jpg	47	41	13
106346	2006	10	2006/10	89923-18078-106346-1-new-x-men-vol-2_icon.jpg	325	34	20
106356	2006	10	2006/10	90102-18130-106356-1-wolverine-origins_icon.jpg	20	53	39
107768	2006	11	2006/11	102954-18382-107768-1-x-men-pheonix-warso_icon.jpg	358	37	13
275080	2006	11	2006/11	1866860-15_icon.jpg	13	36	9
275885	2006	11	2006/11	1873510-x_men_deluxe139_icon.jpg	34	35	38
299998	2006	11	2006/11	2059603-59_icon.jpg	360	39	11
300158	2006	11	2006/11	2060321-118_icon.jpg	349	51	18
300424	2006	11	2006/11	2061396-11a_icon.jpg	273	28	5
106357	2006	11	2006/11	90126-18078-106357-1-new-x-men-vol-2_icon.jpg	52	31	20
275081	2006	12	2006/12	1866861-16_icon.jpg	318	48	3
275886	2006	12	2006/12	1873542-x_men_deluxe140_icon.jpg	337	33	12
300159	2006	12	2006/12	2060322-119_icon.jpg	7	46	13
106358	2006	12	2006/12	90127-18078-106358-1-new-x-men-vol-2_icon.jpg	29	47	43
106130	2006	12	2006/12	93608-10746-106130-1-astonishing-x-men_icon.jpg	9	74	12
275071	2006	2	2006/2	1866851-06_icon.jpg	19	36	11
275798	2006	2	2006/2	1872754-x_men_deluxe130_icon.jpg	78	47	4
288924	2006	2	2006/2	1978163-x_men188_icon.jpg	213	50	19
299989	2006	2	2006/2	2059593-50_icon.jpg	324	40	5
300149	2006	2	2006/2	2060310-109_icon.jpg	32	32	59
105973	2006	2	2006/2	87320-18078-105973-1-new-x-men-vol-2_icon.jpg	305	44	4
186528	2006	3	2006/3	1052937-houseofm_icon.jpg	212	44	3
275072	2006	3	2006/3	1866852-07_icon.jpg	18	36	30
275800	2006	3	2006/3	1872764-x_men_deluxe131_icon.jpg	29	64	19
299990	2006	3	2006/3	2059594-51_icon.jpg	27	31	25
300150	2006	3	2006/3	2060311-110_icon.jpg	24	36	21
105984	2006	3	2006/3	87418-18078-105984-1-new-x-men-vol-2_icon.jpg	347	38	11
275073	2006	4	2006/4	1866853-08_icon.jpg	23	41	12
275802	2006	4	2006/4	1872771-x_men_deluxe132_icon.jpg	34	36	47
299991	2006	4	2006/4	2059595-52_icon.jpg	211	50	9
300151	2006	4	2006/4	2060312-111_icon.jpg	15	54	18
300340	2006	4	2006/4	2061125-64_icon.jpg	86	39	9
105955	2006	4	2006/4	87172-18078-105955-1-new-x-men-vol-2_icon.jpg	242	48	2
106677	2006	4	2006/4	93927-10746-106677-1-astonishing-x-men_icon.jpg	30	39	76
186530	2006	5	2006/5	1052939-ce_icon.jpg	24	36	2
275074	2006	5	2006/5	1866854-09_icon.jpg	218	49	8
275803	2006	5	2006/5	1872777-x_men_deluxe133_icon.jpg	71	40	9
299992	2006	5	2006/5	2059596-53_icon.jpg	33	32	31
300152	2006	5	2006/5	2060314-112_icon.jpg	29	35	38
106023	2006	5	2006/5	87751-18078-106023-1-new-x-men-vol-2_icon.jpg	15	42	28
