Hellboy_(2004),Guillermo_del_Toro,Ron_Perlman,Doug_Jones,Selma_Blair,John_Hurt,
Resident_Evil:_Apocalypse_(2004),Alexander_Witt,Milla_Jovovich,Sienna_Guillory,Eric_Mabius,Oded_Fehr,
íÊon_Flux_(2005),Karyn_Kusama,Charlize_Theron,Frances_McDormand,Sophie_Okonedo,Marton_Csokas,
Chicken_Little_(2005),Mark_Dindal,Zach_Braff,Joan_Cusack,Garry_Marshall,Don_Knotts,
The_Island_(2005),Michael_Bay,Scarlett_Johansson,Ewan_McGregor,Djimon_Hounsou,Steve_Buscemi,
The_Jacket_(2005),John_Maybury,Adrien_Brody,Keira_Knightley,Daniel_Craig,Kris_Kristofferson,
Robots_(2005),Chris_Wedge,Carlos_Saldanha,Ewan_McGregor,Halle_Berry,Mel_Brooks,Robin_Williams
Sky_High_(2005),Mike_Mitchell,Kurt_Russell,Kelly_Preston,Michael_Angarano,Danielle_Panabaker,
Star_Wars:_Episode_III_-_Revenge_of_the_Sith_(2005),George_Lucas,Hayden_Christensen,Natalie_Portman,Ewan_McGregor,Samuel_L._Jackson,
War_of_the_Worlds_(2005),Steven_Spielberg,Tom_Cruise,Dakota_Fanning,Tim_Robbins,Miranda_Otto,
Underworld:_Evolution_(2006),Len_Wiseman,Kate_Beckinsale,Scott_Speedman,Bill_Nighy,Tony_Curran,
X-Men:_The_Last_Stand_(2006),Brett_Ratner,Patrick_Stewart,Hugh_Jackman,Halle_Berry,Famke_Janssen,
28_Weeks_Later_(2007),Juan_Carlos_Fresnadillo,Jeremy_Renner,Rose_Byrne,Robert_Carlyle,Harold_Perrineau,
Aliens_vs._Predator:_Requiem_(2007),The_Brothers_Strause,The_Brothers_Strause,Reiko_Aylesworth,Steven_Pasquale,John_Ortiz,Johnny_Lewis
Fantastic_4:_Rise_of_the_Silver_Surfer_(2007),Tim_Story,Ioan_Gruffudd,Jessica_Alba,Chris_Evans,Michael_Chiklis,
The_Golden_Compass_(2007),Chris_Weitz,Nicole_Kidman,Daniel_Craig,Dakota_Blue_Richards,Ben_Walker,
Next_(2007),Lee_Tamahori,Nicolas_Cage,Julianne_Moore,Jessica_Biel,Thomas_Kretschmann,
10000_BC_(2008),Roland_Emmerich,Camilla_Belle,Steven_Strait,Marco_Khan,Cliff_Curtis,
City_of_Ember_(2008),Gil_Kenan,Saoirse_Ronan,Toby_Jones,Bill_Murray,David_Ryall,
Doomsday_(2008),Neil_Marshall,Rhona_Mitra,Bob_Hoskins,Alexander_Siddig,Caryn_Peterson,
The_Incredible_Hulk_(2008),Louis_Leterrier,Edward_Norton,Liv_Tyler,Tim_Roth,William_Hurt,
Journey_to_the_Center_of_the_Earth_(2008),Eric_Brevig,Brendan_Fraser,Josh_Hutcherson,Anita_Briem,Seth_Meyers,
Star_Wars:_The_Clone_Wars_(2008),Dave_Filoni,Matt_Lanter,Nika_Futterman,Tom_Kane,Ashley_Eckstein,
2012_(2009),Roland_Emmerich,John_Cusack,Thandie_Newton,Chiwetel_Ejiofor,Amanda_Peet,
Avatar_(2009),James_Cameron,Sam_Worthington,Zoe_Saldana,Sigourney_Weaver,Michelle_Rodriguez,
The_Box_(2009),Richard_Kelly,Cameron_Diaz,James_Marsden,Frank_Langella,James_Rebhorn,
G.I._Joe:_The_Rise_of_Cobra_(2009),Stephen_Sommers,Dennis_Quaid,Channing_Tatum,Marlon_Wayans,Adewale_Akinnuoye-Agbaje,
Knowing_(2009),Alex_Proyas,Nicolas_Cage,Chandler_Canterbury,Rose_Byrne,Lara_Robinson,
Monsters_vs._Aliens_(2009),Rob_Letterman,Conrad_Vernon,Reese_Witherspoon,Rainn_Wilson,Stephen_Colbert,Seth_Rogen
Pandorum_(2009),Christian_Alvart,Dennis_Quaid,Ben_Foster,Cam_Gigandet,Antje_Traue,
Planet_51_(2009),Jorge_Blanco,Javier_Abad,Dwayne_Johnson,Seann_William_Scott,Jessica_Biel,John_Cleese
Race_to_Witch_Mountain_(2009),Andy_Fickman,Dwayne_Johnson,Carla_Gugino,AnnaSophia_Robb,Alexander_Ludwig,
Star_Trek_(2009),J.J._Abrams,Chris_Pine,Zachary_Quinto,Simon_Pegg,Leonard_Nimoy,
Transformers:_Revenge_of_the_Fallen_(2009),Michael_Bay,Shia_LaBeouf,Megan_Fox,Josh_Duhamel,Tyrese_Gibson,
Underworld:_Rise_of_the_Lycans_(2009),Patrick_Tatopoulos,Rhona_Mitra,Michael_Sheen,Bill_Nighy,Steven_Mackintosh,
