Id,NodeType
Rian_Johnson,person
Emily_Blunt,person
Paul_Dano,person
Total_Recall_(1990),movie
Sharon_Stone,person
Michael_Ironside,person
Rachel_Ticotin,person
X-Men_(2000),movie
Famke_Janssen,person
Dawn_of_the_Dead_(2004),movie
Sarah_Polley,person
Ving_Rhames,person
Mekhi_Phifer,person
Jake_Weber,person
Iron_Man_Three_(2013),movie
Shane_Black,person
Guy_Pearce,person
Don_Cheadle,person
The_Transformers:_The_Movie_(1986),movie
Nelson_Shin,person
Orson_Welles,person
Robert_Stack,person
Norman_Alden,person
Man_of_Steel_(2013),movie
Henry_Cavill,person
Amy_Adams,person
Michael_Shannon,person
Diane_Lane,person
Superman_(1978),movie
Richard_Donner,person
Christopher_Reeve,person
Margot_Kidder,person
Gene_Hackman,person
Marlon_Brando,person
They_Live_(1988),movie
John_Carpenter,person
Roddy_Piper,person
Keith_David,person
Meg_Foster,person
George_'Buck'_Flower,person
Planet_Terror_(2007),movie
Robert_Rodriguez,person
Rose_McGowan,person
Freddy_Rodr√≠guez,person
Josh_Brolin,person
Marley_Shelton,person
Star_Trek_VI:_The_Undiscovered_Country_(1991),movie
Transformers_(2007),movie
Michael_Bay,person
Shia_LaBeouf,person
Megan_Fox,person
Josh_Duhamel,person
Tyrese_Gibson,person
Troopers_(1997),movie
Casper_Van_Dien,person
Denise_Richards,person
Dina_Meyer,person
Jake_Busey,person
The_Matrix_Reloaded_(2003),movie
Pitch_Black_(2000),movie
David_Twohy,person
Radha_Mitchell,person
Cole_Hauser,person
Real_Steel_(2011),movie
Shawn_Levy,person
Evangeline_Lilly,person
Dakota_Goyo,person
Anthony_Mackie,person
Pacific_Rim_(2013),movie
Guillermo_del_Toro,person
Idris_Elba,person
Charlie_Hunnam,person
Rinko_Kikuchi,person
Charlie_Day,person
Blade_(1998),movie
Stephen_Norrington,person
Wesley_Snipes,person
Stephen_Dorff,person
Kris_Kristofferson,person
N'Bushe_Wright,person
I_Robot_(2004),movie
Alex_Proyas,person
Will_Smith,person
Bridget_Moynahan,person
Bruce_Greenwood,person
Iron_Man_2_(2010),movie
Mickey_Rourke,person
Westworld_(1973),movie
Michael_Crichton,person
Yul_Brynner,person
Richard_Benjamin,person
James_Brolin,person
Norman_Bartold,person
Hellboy_2:_The_Golden_Army_(2008),movie
Ron_Perlman,person
Selma_Blair,person
Doug_Jones,person
John_Alexander,person
9_(2009),movie
Shane_Acker,person
Elijah_Wood,person
Jennifer_Connelly,person
Crispin_Glover,person
Christopher_Plummer,person
Dredd_(2012),movie
Pete_Travis,person
Karl_Urban,person
Olivia_Thirlby,person
Lena_Headey,person
Rachel_Wood,person
The_World's_End_(2013),movie
Edgar_Wright,person
Nick_Frost,person
Martin_Freeman,person
Rosamund_Pike,person
Deja_Vu_(2006),movie
Tony_Scott,person
Denzel_Washington,person
Paula_Patton,person
Jim_Caviezel,person
Val_Kilmer,person
Snowpiercer_(2013),movie
Joon-ho_Bong,person
Jamie_Bell,person
Tilda_Swinton,person
Alison_Pill,person
Oblivion_(2013),movie
Joseph_Kosinski,person
Morgan_Freeman,person
Andrea_Riseborough,person
Olga_Kurylenko,person
Stargate_(1994),movie
Roland_Emmerich,person
Kurt_Russell,person
James_Spader,person
Jaye_Davidson,person
Viveca_Lindfors,person
The_Incredible_Hulk_(2008),movie
Louis_Leterrier,person
Edward_Norton,person
Liv_Tyler,person
Tim_Roth,person
William_Hurt,person
Men_in_Black_3_(2012),movie
Barry_Sonnenfeld,person
Tommy_Lee_Jones,person
Jemaine_Clement,person
Independence_Day_(1996),movie
Bill_Pullman,person
Jeff_Goldblum,person
Mary_McDonnell,person
Enemy_Mine_(1985),movie
Wolfgang_Petersen,person
Dennis_Quaid,person
Louis_Gossett,person
Brion_James,person
Richard_Marcus,person
The_Island_(2005),movie
Djimon_Hounsou,person
Steve_Buscemi,person
TRON:_Legacy_(2010),movie
Garrett_Hedlund,person
Olivia_Wilde,person
Bruce_Boxleitner,person
Hanna_(2011),movie
Joe_Wright,person
Saoirse_Ronan,person
Cate_Blanchett,person
Eric_Bana,person
Vicky_Krieps,person
Hellboy_(2004),movie
John_Hurt,person
Ender's_Game_(2013),movie
Gavin_Hood,person
Asa_Butterfield,person
Hailee_Steinfeld,person
Abigail_Breslin,person
X-Men:_The_Last_Stand_(2006),movie
Brett_Ratner,person
TRON_(1982),movie
Steven_Lisberger,person
David_Warner,person
Cindy_Morgan,person
Pandorum_(2009),movie
Christian_Alvart,person
Ben_Foster,person
Cam_Gigandet,person
Antje_Traue,person
Capricorn_One_(1977),movie
Peter_Hyams,person
Elliott_Gould,person
Brenda_Vaccaro,person
Sam_Waterston,person
Escape_Plan_(2013),movie
Mikael_H√•fstr√∂m,person
Sylvester_Stallone,person
50_Cent,person
Vincent_D'Onofrio,person
Captain_America:_The_First_Avenger_(2011),movie
Joe_Johnston,person
Hayley_Atwell,person
The_Wolverine_(2013),movie
James_Mangold,person
Will_Yun_Lee,person
Tao_Okamoto,person
Rila_Fukushima,person
Superman_II_(1980),movie
Richard_Lester,person
Ned_Beatty,person
Star_Wars:_Episode_II_-_Attack_of_the_Clones_(2002),movie
Christopher_Lee,person
X-Men_Origins:_Wolverine_(2009),movie
Liev_Schreiber,person
Ryan_Reynolds,person
Danny_Huston,person
Underworld:_Evolution_(2006),movie
Len_Wiseman,person
Kate_Beckinsale,person
Scott_Speedman,person
Bill_Nighy,person
Tony_Curran,person
Terminator_Salvation_(2009),movie
McG,person
Anton_Yelchin,person
Moon_Bloodgood,person
Elysium_(2013),movie
Matt_Damon,person
Jodie_Foster,person
Alice_Braga,person
Resident_Evil_(2002),movie
Paul_W.S._Anderson,person
Ryan_McCluskey,person
Oscar_Pearce,person
Diamonds_Are_Forever_(1971),movie
Guy_Hamilton,person
Sean_Connery,person
Jill_St._John,person
Charles_Gray,person
Lana_Wood,person
The_Matrix_Revolutions_(2003),movie
The_Chronicles_of_Riddick_(2004),movie
Judi_Dench,person
Colm_Feore,person
Thandie_Newton,person
Blade_II_(2002),movie
Leonor_Varela,person
In_Time_(2011),movie
Andrew_Niccol,person
Justin_Timberlake,person
Amanda_Seyfried,person
Cillian_Murphy,person
John_Carter_(2012),movie
Andrew_Stanton,person
Taylor_Kitsch,person
Lynn_Collins,person
Willem_Dafoe,person
Rollerball_(1975),movie
Norman_Jewison,person
James_Caan,person
John_Houseman,person
Maud_Adams,person
John_Beck,person
The_Running_Man_(1987),movie
Paul_Michael_Glaser,person
Maria_Conchita_Alonso,person
Yaphet_Kotto,person
Jim_Brown,person
Star_Trek_III:_The_Search_for_Spock_(1984),movie
Titan_A.E._(2000),movie
Don_Bluth,person
Gary_Goldman,person
Drew_Barrymore,person
John_Leguizamo,person
RoboCop_(2014),movie
Jos√©_Padilha,person
Joel_Kinnaman,person
Abbie_Cornish,person
Outland_(1981),movie
Frances_Sternhagen,person
Peter_Boyle,person
James_Sikking,person
Underworld:_Rise_of_the_Lycans_(2009),movie
Patrick_Tatopoulos,person
Rhona_Mitra,person
Michael_Sheen,person
Steven_Mackintosh,person
Armageddon_(1998),movie
Billy_Bob_Thornton,person
Ben_Affleck,person
Demolition_Man_(1993),movie
Marco_Brambilla,person
Sandra_Bullock,person
Nigel_Hawthorne,person
Star_Wars:_Episode_I_-_The_Phantom_Menace_(1999),movie
Liam_Neeson,person
Jake_Lloyd,person
Star_Trek:_Generations_(1994),movie
David_Carson,person
Malcolm_McDowell,person
Daybreakers_(2009),movie
The_Spierig_Brothers,person
Ethan_Hawke,person
Sam_Neill,person
Harriet_Minto-Day,person
Robotech:_The_Shadow_Chronicles_(2006),movie
Dong-Wook_Lee,person
Tommy_Yune,person
Richard_Epcar,person
Eddie_Frierson,person
Alexandra_Kenworthy,person
Ghostbusters_II_(1989),movie
Ivan_Reitman,person
Bill_Murray,person
Dan_Aykroyd,person
Harold_Ramis,person
Final_Fantasy:_The_Spirits_Within_(2001),movie
Hironobu_Sakaguchi,person
Motonori_Sakakibara,person
Alec_Baldwin,person
Ming-Na_Wen,person
Star_Trek:_Nemesis_(2002),movie
Stuart_Baird,person
The_Lost_World:_Jurassic_Park_(1997),movie
Julianne_Moore,person
Pete_Postlethwaite,person
Vince_Vaughn,person
Flash_Gordon_(1980),movie
Mike_Hodges,person
Sam_J._Jones,person
Melody_Anderson,person
Topol,person
Predators_(2010),movie
Nimr√≥d_Antal,person
Adrien_Brody,person
Topher_Grace,person
Terminator_3:_Rise_of_the_Machines_(2003),movie
Jonathan_Mostow,person
Nick_Stahl,person
Kristanna_Loken,person
Claire_Danes,person
Alien_3_(1992),movie
David_Fincher,person
Charles_S._Dutton,person
Charles_Dance,person
Paul_McGann,person
Riddick_(2013),movie
Katee_Sackhoff,person
Jordi_Moll√†,person
TMNT_(2007),movie
Kevin_Munroe,person
Mako,person
Sarah_Michelle_Gellar,person
Death_Race_(2008),movie
Jason_Statham,person
Joan_Allen,person
Ian_McShane,person
Darkman_(1990),movie
Sam_Raimi,person
Frances_McDormand,person
Colin_Friels,person
Larry_Drake,person
The_Day_After_Tomorrow_(2004),movie
Jake_Gyllenhaal,person
Emmy_Rossum,person
Dash_Mihok,person
Star_Trek:_Insurrection_(1998),movie
Transformers:_Dark_of_the_Moon_(2011),movie
Rosie_Huntington-Whiteley,person
Screamers_(1995),movie
Christian_Duguay,person
Roy_Dupuis,person
Jennifer_Rubin,person
Andrew_Lauer,person
Astro_Boy_(2009),movie
David_Bowers,person
Freddie_Highmore,person
Nicolas_Cage,person
Kristen_Bell,person
Charlize_Theron,person
The_Adventures_of_the_Rocketeer_(1991),movie
Billy_Campbell,person
Alan_Arkin,person
Timothy_Dalton,person
Repo_Men_(2010),movie
Miguel_Sapochnik,person
Jude_Law,person
Forest_Whitaker,person
Gemini_Rising_(2013),movie
Dana_Schroeder,person
Lance_Henriksen,person
Amy_Hathaway,person
John_Savage,person
Brian_Krause,person
Total_Recall_(2012),movie
Bokeem_Woodbine,person
Bryan_Cranston,person
The_Arrival_(1996),movie
Charlie_Sheen,person
Lindsay_Crouse,person
Richard_Schiff,person
Shane,person
Alien:_Resurrection_(1997),movie
Jean-Pierre_Jeunet,person
Winona_Ryder,person
Dominique_Pinon,person
Outlander_(2008),movie
Howard_McCain,person
Sophia_Myles,person
Jack_Huston,person
Resident_Evil:_Extinction_(2007),movie
Russell_Mulcahy,person
Ali_Larter,person
Oded_Fehr,person
Iain_Glen,person
Surrogates_(2009),movie
Paycheck_(2003),movie
John_Woo,person
Uma_Thurman,person
Michael_C._Hall,person
Alien_Nation_(1988),movie
Graham_Baker,person
Mandy_Patinkin,person
Terence_Stamp,person
Kevyn_Major_Howard,person
Death_Race_2000_(1975),movie
Paul_Bartel,person
David_Carradine,person
Simone_Griffeth,person
Mary_Woronov,person
Predator_2_(1990),movie
Stephen_Hopkins,person
Danny_Glover,person
Gary_Busey,person
Rub√©n_Blades,person
Impostor_(2001),movie
Gary_Fleder,person
Shane_Brolly,person
Gary_Sinise,person
Madeleine_Stowe,person
Next_(2007),movie
Lee_Tamahori,person
Jessica_Biel,person
Thomas_Kretschmann,person
Knowing_(2009),movie
Chandler_Canterbury,person
Rose_Byrne,person
Lara_Robinson,person
Superman_Returns_(2006),movie
Brandon_Routh,person
Kevin_Spacey,person
Kate_Bosworth,person
James_Marsden,person
Reign_of_Fire_(2002),movie
Rob_Bowman,person
Matthew_McConaughey,person
Izabella_Scorupco,person
Gerard_Butler,person
The_Saint_(1997),movie
Phillip_Noyce,person
Elisabeth_Shue,person
Rade_Serbedzija,person
Valeriy_Nikolaev,person
Resident_Evil:_Apocalypse_(2004),movie
Alexander_Witt,person
Sienna_Guillory,person
Eric_Mabius,person
Push_(2009),movie
Paul_McGuigan,person
Camilla_Belle,person
Dakota_Fanning,person
Colin_Ford,person
Zathura:_A_Space_Adventure_(2005),movie
Josh_Hutcherson,person
Jonah_Bobo,person
Dax_Shepard,person
Tim_Robbins,person
Sky_Captain_and_the_World_of_Tomorrow_(2004),movie
Kerry_Conran,person
Angelina_Jolie,person
Giovanni_Ribisi,person
Lockout_(2012),movie
James_Mather,person
Stephen_Saint_Leger,person
Maggie_Grace,person
Peter_Stormare,person
Vincent_Regan,person
Deep_Impact_(1998),movie
Mimi_Leder,person
Robert_Duvall,person
T√©a_Leoni,person
Cowboys_&_Aliens_(2011),movie
Daniel_Craig,person
Abigail_Spencer,person
Mystery_Men_(1999),movie
Kinka_Usher,person
Ben_Stiller,person
Janeane_Garofalo,person
William_H._Macy,person
Hank_Azaria,person
Jumper_(2008),movie
Doug_Liman,person
Rachel_Bilson,person
Transformers:_Revenge_of_the_Fallen_(2009),movie
Eraser_(1996),movie
Charles_Russell,person
Vanessa_Williams,person
James_Coburn,person
Escape_from_Absolom_(1994),movie
Martin_Campbell,person
Ray_Liotta,person
Stuart_Wilson,person
Kevin_Dillon,person
Doomsday_(2008),movie
Neil_Marshall,person
Bob_Hoskins,person
Alexander_Siddig,person
Caryn_Peterson,person
Immortal_(Ad_Vitam),movie
Enki_Bilal,person
Linda_Hardy,person
Charlotte_Rampling,person
Yann_Collette,person
Men_in_Black_II_(2002),movie
Rip_Torn,person
Lara_Flynn_Boyle,person
Deep_Rising_(1998),movie
Stephen_Sommers,person
Treat_Williams,person
Anthony_Heald,person
Kevin_J._O'Connor,person
The_Brothers_Grimm_(2005),movie
Terry_Gilliam,person
Monica_Bellucci,person
Petr_Ratimec,person
Dead_Heat_(1988),movie
Mark_Goldblatt,person
Joe_Piscopo,person
Lindsay_Frost,person
Darren_McGavin,person
Soldier_(1998),movie
Paul_Anderson,person
Jason_Scott_Lee,person
Jason_Isaacs,person
Connie_Nielsen,person
Teenage_Mutant_Ninja_Turtles_II:_The_Secret_of_the_Ooze_(1991),movie
Michael_Pressman,person
Paige_Turco,person
Michelan_Sisti,person
Leif_Tilden,person
Universal_Soldier_(1992),movie
Jean-Claude_Van_Damme,person
Dolph_Lundgren,person
Ally_Walker,person
Ed_O'Ross,person
Dark_Angel_(1990),movie
Craig_R._Baxley,person
Brian_Benben,person
Betsy_Brantley,person
Matthias_Hues,person
Battleship_(2012),movie
Peter_Berg,person
Alexander_Skarsg√•rd,person
Brooklyn_Decker,person
Rihanna,person
Resident_Evil:_Afterlife_(2010),movie
Wentworth_Miller,person
Kim_Coates,person
The_One_(2001),movie
James_Wong,person
Jet_Li,person
Delroy_Lindo,person
Runaway_(1984),movie
Tom_Selleck,person
Cynthia_Rhodes,person
Gene_Simmons,person
Kirstie_Alley,person
The_Time_Machine_(2002),movie
Simon_Wells,person
Yancey_Arias,person
Mark_Addy,person
Phyllida_Law,person
Jurassic_Park_III_(2001),movie
Alessandro_Nivola,person
The_6th_Day_(2000),movie
Roger_Spottiswoode,person
Michael_Rapaport,person
Tony_Goldwyn,person
Michael_Rooker,person
Blade:_Trinity_(2004),movie
David_S._Goyer,person
Parker_Posey,person
The_Barony_(1975),movie
Robert_Clouse,person
Joanna_Miles,person
William_Smith,person
Hunting_the_Phantom_(2014),movie
Marina_Kunarova,person
Armand_Assante,person
Rich_Paul,person
Jose_Rosete,person
Fortress_(1992),movie
Stuart_Gordon,person
Christopher_Lambert,person
Loryn_Locklin,person
Kurtwood_Smith,person
Clifton_Collins_Jr.,person
Gamer_(2009),movie
Neveldine,person
Taylor,person
Ludacris,person
Amber_Valletta,person
World_Invasion:_Battle_LA_(2011),movie
Jonathan_Liebesman,person
Ramon_Rodriguez,person
Journey_2:_The_Mysterious_Island_(2012),movie
Brad_Peyton,person
Dwayne_Johnson,person
Luis_Guzm√°n,person
Journey_to_the_Centre_of_the_Earth_(2008),movie
Eric_Brevig,person
Brendan_Fraser,person
Anita_Briem,person
Seth_Meyers,person
2012_(2009),movie
John_Cusack,person
Amanda_Peet,person
G.I._Joe:_The_Rise_of_Cobra_(2009),movie
Channing_Tatum,person
Marlon_Wayans,person
Adewale_Akinnuoye-Agbaje,person
Timecop_(1994),movie
Mia_Sara,person
Ron_Silver,person
Bruce_McGill,person
Mortal_Kombat_(1995),movie
Robin_Shou,person
Linden_Ashby,person
Cary-Hiroyuki_Tagawa,person
The_League_of_Extraordinary_Gentlemen_(2003),movie
Stuart_Townsend,person
Peta_Wilson,person
Jason_Flemyng,person
Race_to_Witch_Mountain_(2009),movie
Andy_Fickman,person
AnnaSophia_Robb,person
Alexander_Ludwig,person
Deep_Blue_Sea_(1999),movie
Renny_Harlin,person
Thomas_Jane,person
Saffron_Burrows,person
Jacqueline_McKenzie,person
Green_Lantern_(2011),movie
Blake_Lively,person
Peter_Sarsgaard,person
Mark_Strong,person
Priest_(2011),movie
Scott_Stewart,person
Paul_Bettany,person
Maggie_Q,person
Fantastic_Four_(2005),movie
Tim_Story,person
Ioan_Gruffudd,person
Michael_Chiklis,person
Jessica_Alba,person
Planet_of_the_Apes_(2001),movie
Mark_Wahlberg,person
Helena_Bonham_Carter,person
Michael_Clarke_Duncan,person
Hollow_Man_(2000),movie
Kim_Dickens,person
Class_of_1999_(1990),movie
Mark_L._Lester,person
Bradley_Gregg,person
Traci_Lind,person
Hulk_(2003),movie
Ang_Lee,person
Sam_Elliott,person
Josh_Lucas,person
RoboCop_2_(1990),movie
Belinda_Bauer,person
John_Glover,person
Mario_Machado,person
Fantastic_4:_Rise_of_the_Silver_Surfer_(2007),movie
Nemesis_(1992),movie
Albert_Pyun,person
Olivier_Gruner,person
Tim_Thomerson,person
Merle_Kennedy,person
Red_Planet_(2000),movie
Antony_Hoffman,person
Tom_Sizemore,person
Benjamin_Bratt,person
Escape_from_L.A._(1996),movie
Peter_Fonda,person
Lake_Placid_(1999),movie
Steve_Miner,person
Bridget_Fonda,person
Oliver_Platt,person
Brendan_Gleeson,person
Timeline_(2003),movie
Paul_Walker,person
Billy_Connolly,person
Frances_O'Connor,person
Babylon_A.D._(2008),movie
Mathieu_Kassovitz,person
Michelle_Yeoh,person
M√©lanie_Thierry,person
Lambert_Wilson,person
Mighty_Joe_Young_(1998),movie
Ron_Underwood,person
Bill_Paxton,person
Peter_Firth,person
AVP:_Alien_vs._Predator_(2004),movie
Sanaa_Lathan,person
Raoul_Bova,person
Ewen_Bremner,person
Virtuosity_(1995),movie
Brett_Leonard,person
Russell_Crowe,person
Kelly_Lynch,person
Stephen_Spinella,person
Chain_Reaction_(1996),movie
Andrew_Davis,person
Rachel_Weisz,person
Fred_Ward,person
Johnny_Mnemonic_(1995),movie
Robert_Longo,person
Ice-T,person
√Üon_Flux_(2005),movie
Karyn_Kusama,person
Sophie_Okonedo,person
Marton_Csokas,person
Silent_Rage_(1982),movie
Michael_Miller,person
Chuck_Norris,person
Steven_Keats,person
Toni_Kalem,person
Spy_Kids_(2001),movie
Alexa_PenaVega,person
Daryl_Sabara,person
Antonio_Banderas,person
Batman_Forever_(1995),movie
Joel_Schumacher,person
Jim_Carrey,person
Nicole_Kidman,person
Mars_Needs_Mums_(2011),movie
Seth_Green,person
Joan_Cusack,person
Dan_Fogler,person
Elisabeth_Harnois,person
Eight_Legged_Freaks_(2002),movie
Ellory_Elkayem,person
David_Arquette,person
Kari_Wuhrer,person
Scott_Terra,person
The_Core_(2003),movie
Jon_Amiel,person
Hilary_Swank,person
Black_Moon_Rising_(1986),movie
Harley_Cokliss,person
Robert_Vaughn,person
Richard_Jaeckel,person
Daredevil_(2003),movie
Mark_Steven_Johnson,person
Jennifer_Garner,person
Volcano_(1997),movie
Mick_Jackson,person
Anne_Heche,person
Gaby_Hoffmann,person
