metadata/iso_language_code,metadata/result_type,created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user/id,user/id_str,user/name,user/screen_name,user/location,user/description,user/url,user/entities/url/urls/0/url,user/entities/url/urls/0/expanded_url,user/entities/url/urls/0/display_url,user/entities/url/urls/0/indices/0,user/entities/url/urls/0/indices/1,user/entities/description/urls/0/url,user/entities/description/urls/0/expanded_url,user/entities/description/urls/0/display_url,user/entities/description/urls/0/indices/0,user/entities/description/urls/0/indices/1,user/protected,user/followers_count,user/friends_count,user/listed_count,user/created_at,user/favourites_count,user/utc_offset,user/time_zone,user/geo_enabled,user/verified,user/statuses_count,user/lang,user/contributors_enabled,user/is_translator,user/is_translation_enabled,user/profile_background_color,user/profile_background_image_url,user/profile_background_image_url_https,user/profile_background_tile,user/profile_image_url,user/profile_image_url_https,user/profile_banner_url,user/profile_link_color,user/profile_sidebar_border_color,user/profile_sidebar_fill_color,user/profile_text_color,user/profile_use_background_image,user/default_profile,user/default_profile_image,user/following,user/follow_request_sent,user/notifications,geo,coordinates,place,contributors,retweet_count,favorite_count,entities/hashtags/0/text,entities/hashtags/0/indices/0,entities/hashtags/0/indices/1,entities/hashtags/1/text,entities/hashtags/1/indices/0,entities/hashtags/1/indices/1,entities/hashtags/2/text,entities/hashtags/2/indices/0,entities/hashtags/2/indices/1,entities/hashtags/3/text,entities/hashtags/3/indices/0,entities/hashtags/3/indices/1,entities/urls/0/url,entities/urls/0/expanded_url,entities/urls/0/display_url,entities/urls/0/indices/0,entities/urls/0/indices/1,entities/user_mentions/0/screen_name,entities/user_mentions/0/name,entities/user_mentions/0/id,entities/user_mentions/0/id_str,entities/user_mentions/0/indices/0,entities/user_mentions/0/indices/1,entities/user_mentions/1/screen_name,entities/user_mentions/1/name,entities/user_mentions/1/id,entities/user_mentions/1/id_str,entities/user_mentions/1/indices/0,entities/user_mentions/1/indices/1,entities/media/0/id,entities/media/0/id_str,entities/media/0/indices/0,entities/media/0/indices/1,entities/media/0/media_url,entities/media/0/media_url_https,entities/media/0/url,entities/media/0/display_url,entities/media/0/expanded_url,entities/media/0/type,entities/media/0/sizes/small/w,entities/media/0/sizes/small/h,entities/media/0/sizes/small/resize,entities/media/0/sizes/thumb/w,entities/media/0/sizes/thumb/h,entities/media/0/sizes/thumb/resize,entities/media/0/sizes/medium/w,entities/media/0/sizes/medium/h,entities/media/0/sizes/medium/resize,entities/media/0/sizes/large/w,entities/media/0/sizes/large/h,entities/media/0/sizes/large/resize,favorited,retweeted,possibly_sensitive,lang
en,popular,Thu Jun 26 16:11:04 +0000 2014,482194342296453100,482194342296453120,"#Future #Space #Tech: @ESA sets its sights on *harpooning* #SpaceDebris
► http://t.co/Sxwez7lBIc via @gizmag http://t.co/QjPbwtbcms","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",false,,,,,,21641427,21641427,Maxime Duprez,maximaxoo,"Lyon, France","Content scavenger. History, future, science, space, tech, IT, design, geek & fun stuff. I'm curious. Manifesto: http://t.co/gjYC4KkWtc",http://t.co/TLQFe1kbaY,http://t.co/TLQFe1kbaY,http://about.me/maximeduprez,about.me/maximeduprez,0,22,http://t.co/gjYC4KkWtc,http://maximaxoo.tumblr.com/manifesto,maximaxoo.tumblr.com/manifesto,112,134,false,29258,12885,657,Mon Feb 23 09:10:30 +0000 2009,40796,7200,Paris,false,false,26689,fr,false,false,false,0099B9,http://pbs.twimg.com/profile_background_images/378800000180850275/g85FXVK0.jpeg,https://pbs.twimg.com/profile_background_images/378800000180850275/g85FXVK0.jpeg,false,http://pbs.twimg.com/profile_images/378800000461209591/ea6b2d0f0b67ef502ee8496e0ae8c6c7_normal.jpeg,https://pbs.twimg.com/profile_images/378800000461209591/ea6b2d0f0b67ef502ee8496e0ae8c6c7_normal.jpeg,https://pbs.twimg.com/profile_banners/21641427/1398016560,0099B9,FFFFFF,252429,666666,true,false,false,false,false,false,,,,,46,29,Future,0,7,Space,8,14,Tech,15,20,SpaceDebris,59,71,http://t.co/Sxwez7lBIc,http://bit.ly/VoCL4V,bit.ly/VoCL4V,74,96,esa,ESA,21436960,21436960,22,26,gizmag,Gizmag,19748200,19748200,101,108,482194342099296260,482194342099296256,109,131,http://pbs.twimg.com/media/BrEZMwmIIAAxYCD.jpg,https://pbs.twimg.com/media/BrEZMwmIIAAxYCD.jpg,http://t.co/QjPbwtbcms,pic.twitter.com/QjPbwtbcms,http://twitter.com/maximaxoo/status/482194342296453120/photo/1,photo,340,213,fit,150,150,crop,600,375,fit,700,438,fit,false,false,false,en
en,popular,Thu Jun 26 17:58:08 +0000 2014,482221284462694400,482221284462694400,"#Tech #Art: lost &amp; found spare parts assembled in a #cyberpunk #seahorse
► http://t.co/zWF1d1F4mG by Assemblique http://t.co/wj9xz1asfI","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",false,,,,,,21641427,21641427,Maxime Duprez,maximaxoo,"Lyon, France","Content scavenger. History, future, science, space, tech, IT, design, geek & fun stuff. I'm curious. Manifesto: http://t.co/gjYC4KkWtc",http://t.co/TLQFe1kbaY,http://t.co/TLQFe1kbaY,http://about.me/maximeduprez,about.me/maximeduprez,0,22,http://t.co/gjYC4KkWtc,http://maximaxoo.tumblr.com/manifesto,maximaxoo.tumblr.com/manifesto,112,134,false,29258,12885,657,Mon Feb 23 09:10:30 +0000 2009,40796,7200,Paris,false,false,26689,fr,false,false,false,0099B9,http://pbs.twimg.com/profile_background_images/378800000180850275/g85FXVK0.jpeg,https://pbs.twimg.com/profile_background_images/378800000180850275/g85FXVK0.jpeg,false,http://pbs.twimg.com/profile_images/378800000461209591/ea6b2d0f0b67ef502ee8496e0ae8c6c7_normal.jpeg,https://pbs.twimg.com/profile_images/378800000461209591/ea6b2d0f0b67ef502ee8496e0ae8c6c7_normal.jpeg,https://pbs.twimg.com/profile_banners/21641427/1398016560,0099B9,FFFFFF,252429,666666,true,false,false,false,false,false,,,,,33,27,Tech,0,5,Art,6,10,cyberpunk,56,66,seahorse,67,76,http://t.co/zWF1d1F4mG,http://bit.ly/VowGWa,bit.ly/VowGWa,79,101,,,,,,,,,,,,,482221284215238660,482221284215238656,117,139,http://pbs.twimg.com/media/BrExs_zIMAAxkmc.jpg,https://pbs.twimg.com/media/BrExs_zIMAAxkmc.jpg,http://t.co/wj9xz1asfI,pic.twitter.com/wj9xz1asfI,http://twitter.com/maximaxoo/status/482221284462694400/photo/1,photo,340,648,fit,150,150,crop,487,929,fit,487,929,fit,false,false,false,en
en,popular,Thu Jun 26 15:19:23 +0000 2014,482181336308805600,482181336308805632,The 100 most influential #tech #women on #Twitter via @borisonr http://t.co/kbtsCGjWaX via @sai,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>",false,,,,,,87650586,87650586,Juris Ulmanis,Jurisu,"Bronx, NY / Rīga, LV","Entrepreneurship / Marketing Professor | Experiential Learning | Former Motorola Executive |  Fire - Breathing Viking, mountaineer, triathlete, polar explorer",http://t.co/w1jpdTZHNu,http://t.co/w1jpdTZHNu,http://lv.linkedin.com/in/jurisulmanis,lv.linkedin.com/in/jurisulmanis,0,22,,,,,,false,5770,3668,93,Thu Nov 05 09:21:01 +0000 2009,90,,,false,false,2379,en,false,false,false,238EC4,http://pbs.twimg.com/profile_background_images/378800000093713451/ea7373ce610f525d6b0869a447cf4431.jpeg,https://pbs.twimg.com/profile_background_images/378800000093713451/ea7373ce610f525d6b0869a447cf4431.jpeg,true,http://pbs.twimg.com/profile_images/477371192609734656/kiMLGVow_normal.jpeg,https://pbs.twimg.com/profile_images/477371192609734656/kiMLGVow_normal.jpeg,,1B91E0,FFFFFF,0E0E0E,4A66C1,true,false,false,false,false,false,,,,,21,34,tech,25,30,women,31,37,Twitter,41,49,,,,http://t.co/kbtsCGjWaX,http://www.businessinsider.com/most-influential-tech-women-on-twitter-2014-5,businessinsider.com/most-influenti…,64,86,borisonr,Rebecca Borison,456887147,456887147,54,63,SAI,BI: Tech,8841372,8841372,91,95,,,,,,,,,,,,,,,,,,,,,,,false,false,false,en
