issue_id	publish_year	publish_month	icon_url	"Character Id: 1464, Name: Iceman"	Number of Issues: 3517
12123	1972	4	10983-2406-12123-1-incredible-hulk-the_icon.jpg		
12133	1972	4	10992-2133-12133-1-x-men_icon.jpg		
12181	1972	5	11021-2469-12181-1-amazing-adventures_icon.jpg		
12280	1972	6	11105-2133-12280-1-x-men_icon.jpg		
12432	1972	8	11225-2133-12432-1-x-men_icon.jpg		
12489	1972	9	11268-2576-12489-1-marvel-team-up_icon.jpg		
12592	1972	10	11356-2133-12592-1-x-men_icon.jpg		
12757	1972	12	11487-2133-12757-1-x-men_icon.jpg		
12945	1973	2	11640-2133-12945-1-x-men_icon.jpg		
12998	1973	3	11675-2469-12998-1-amazing-adventures_icon.jpg		
13007	1973	3	11684-2129-13007-1-fantastic-four-annua_icon.jpg		
13098	1973	4	11756-2128-13098-1-avengers-the_icon.jpg		
13130	1973	4	11787-2133-13130-1-x-men_icon.jpg		
13119	1973	4	11777-2577-13119-1-marvel-triple-action_icon.jpg		
13170	1973	5	11810-2128-13170-1-avengers-the_icon.jpg		
13302	1973	6	11917-2133-13302-1-x-men_icon.jpg		
13500	1973	8	12072-2133-13500-1-x-men_icon.jpg		
13724	1973	10	12256-2133-13724-1-x-men_icon.jpg		
13899	1973	12	12404-2133-13899-1-x-men_icon.jpg		
14057	1974	2	12528-2472-14057-1-fear_icon.jpg		
14080	1974	2	12551-2133-14080-1-x-men_icon.jpg		
14059	1974	2	12530-2406-14059-1-incredible-hulk-the_icon.jpg		
14214	1974	4	12670-2133-14214-1-x-men_icon.jpg		
14256	1974	5	12703-2400-14256-1-captain-america_icon.jpg		
14361	1974	6	12799-2133-14361-1-x-men_icon.jpg		
14432	1974	7	12866-2576-14432-1-marvel-team-up_icon.jpg		
14516	1974	8	12945-2133-14516-1-x-men_icon.jpg		
14696	1974	10	13114-2133-14696-1-x-men_icon.jpg		
14866	1974	12	13269-2133-14866-1-x-men_icon.jpg		
265145	1975	-1	1703877-marvel_treasury_edition_v1974_001__1974__pagecover_icon.jpg		
