issue_id	publish_year	publish_month	icon_url	"Character Id: 40454, Name: Hellion"	Number of Issues: 605
106023	2006	5	87751-18078-106023-1-new-x-men-vol-2_icon.jpg		
186467	2006	5	1052471-dec_icon.gif		
186530	2006	5	1052939-ce_icon.jpg		
275803	2006	5	1872777-x_men_deluxe133_icon.jpg		
275074	2006	5	1866854-09_icon.jpg		
300152	2006	5	2060314-112_icon.jpg		
299992	2006	5	2059596-53_icon.jpg		
106304	2006	6	89422-18078-106304-1-new-x-men-vol-2_icon.jpg		
275806	2006	6	1872798-x_men_deluxe134_icon.jpg		
275075	2006	6	1866855-10_icon.jpg		
292788	2006	6	2007367-06a_icon.jpg		
300153	2006	6	2060315-113_icon.jpg		
299993	2006	6	2059597-54_icon.jpg		
106343	2006	7	89903-18078-106343-1-new-x-men-vol-2_icon.jpg		
275807	2006	7	1872801-x_men_deluxe135_icon.jpg		
275076	2006	7	1866856-11_icon.jpg		
300154	2006	7	2060316-114_icon.jpg		
299994	2006	7	2059598-55_icon.jpg		
324556	2006	7	2261580-57_icon.jpg		
106344	2006	8	89904-18078-106344-1-new-x-men-vol-2_icon.jpg		
186539	2006	8	1052950-crusade_icon.jpg		
275860	2006	8	1873434-x_men_deluxe136_icon.jpg		
289453	2006	8	1980564-x_men194_icon.jpg		
275077	2006	8	1866857-12_icon.jpg		
300155	2006	8	2060318-115_icon.jpg		
299995	2006	8	2059600-56_icon.jpg		
106341	2006	9	89887-18130-106341-1-wolverine-origins_icon.jpg		
106345	2006	9	89920-18078-106345-1-new-x-men-vol-2_icon.jpg		
108847	2006	9	113322-18530-108847-1-civil-war-files_icon.jpg		
138254	2006	9	536753-x_men_icon.jpg		
198649	2006	9	1142919-69050_20070213081138_large_icon.jpg		
275870	2006	9	1873452-x_men_deluxe137_icon.jpg		
275078	2006	9	1866858-13_icon.jpg		
300345	2006	9	2061130-69_icon.jpg		
300156	2006	9	2060319-116_icon.jpg		
299996	2006	9	2059601-57_icon.jpg		
300567	2006	9	2061703-07_icon.jpg		
324555	2006	9	2261579-58_icon.jpg		
106346	2006	10	89923-18078-106346-1-new-x-men-vol-2_icon.jpg		
106356	2006	10	90102-18130-106356-1-wolverine-origins_icon.jpg		
275881	2006	10	1873486-x_men_deluxe138_icon.jpg		
275079	2006	10	1866859-14_icon.jpg		
300157	2006	10	2060320-117_icon.jpg		
299997	2006	10	2059602-58_icon.jpg		
106357	2006	11	90126-18078-106357-1-new-x-men-vol-2_icon.jpg		
107768	2006	11	102954-18382-107768-1-x-men-pheonix-warso_icon.jpg		
275885	2006	11	1873510-x_men_deluxe139_icon.jpg		
275080	2006	11	1866860-15_icon.jpg		
300158	2006	11	2060321-118_icon.jpg		
299998	2006	11	2059603-59_icon.jpg		
300424	2006	11	2061396-11a_icon.jpg		
106358	2006	12	90127-18078-106358-1-new-x-men-vol-2_icon.jpg		
106130	2006	12	93608-10746-106130-1-astonishing-x-men_icon.jpg		
275886	2006	12	1873542-x_men_deluxe140_icon.jpg		
275081	2006	12	1866861-16_icon.jpg		
300159	2006	12	2060322-119_icon.jpg		
106359	2007	1	90128-18078-106359-1-new-x-men-vol-2_icon.jpg		
107947	2007	1	2355532-193_icon.jpg		
186541	2007	1	1052968-nimrod_icon.jpg		
275082	2007	1	1866862-17_icon.jpg		
300160	2007	1	2060323-120_icon.jpg		
300000	2007	1	2059605-61_icon.jpg		
324546	2007	1	2261510-x_men_extra_comics_volume_60_simple_26013_icon.jpg		
110486	2007	2	135338-18078-110486-1-new-x-men-vol-2_icon.jpg		
186274	2007	2	1051052-astx3_torn_icon.jpg		
275083	2007	2	1866863-18_icon.jpg		
300161	2007	2	2060324-121_icon.jpg		
300001	2007	2	2059606-62_icon.jpg		
110487	2007	3	135339-18078-110487-1-new-x-men-vol-2_icon.jpg		
275912	2007	3	1873769-x_men_deluxe143_icon.jpg		
275084	2007	3	1866864-19_icon.jpg		
284003	2007	3	1945633-22a_icon.jpg		
300163	2007	3	2060326-123_icon.jpg		
300002	2007	3	2059607-63_icon.jpg		
300162	2007	3	2060325-122_icon.jpg		
106500	2007	4	91646-18078-106500-1-new-x-men-vol-2_icon.jpg		
