Id,mod_t1,mod_t2,mod_t3,mod_t4,mod_t5,mod_t6,mod_t7,mod_t8,mod_t9,mod_t10
150,1,1,1,1,1,1,1,1,1,107
151,1,1,1,1,1,1,1,1,1,82
152,1,1,1,1,1,1,1,1,1,129
153,0,0,0,0,0,0,0,0,0,262
154,1,1,1,1,1,1,1,1,1,83
155,0,0,0,0,0,0,0,0,0,216
156,1,1,1,1,1,1,1,1,1,84
157,1,1,1,1,1,1,1,1,1,125
158,1,1,1,1,1,1,1,1,1,85
159,1,1,1,1,1,1,1,1,1,100
160,1,1,1,1,1,1,1,1,1,86
161,0,0,0,0,0,0,0,0,0,118
162,1,1,1,1,1,1,1,1,1,125
163,1,1,1,1,1,1,1,1,1,87
164,1,1,1,1,1,1,1,1,1,107
165,1,1,1,1,1,1,1,1,1,125
166,1,1,1,1,1,1,1,1,1,88
167,1,1,1,1,1,1,1,1,1,125
168,0,0,0,0,0,0,0,0,0,89
169,1,1,1,1,1,1,1,1,1,100
170,0,0,0,0,0,0,0,0,0,90
171,1,1,1,1,1,1,1,1,1,125
172,1,1,1,1,1,1,1,1,1,260
173,1,1,1,1,1,0,0,1,3,91
174,1,1,1,1,1,1,1,1,3,92
175,1,1,1,1,0,0,0,1,3,213
176,1,1,1,1,1,1,1,1,1,93
177,1,1,1,1,1,1,1,1,1,94
178,1,1,1,1,1,1,1,1,1,216
179,1,2,1,0,0,1,0,1,3,95
180,1,1,1,1,1,1,1,1,1,96
181,1,1,1,1,1,1,1,1,1,97
182,0,0,0,0,0,0,0,0,0,262
183,1,1,1,1,1,1,1,1,1,98
184,1,1,1,1,1,1,1,1,1,99
185,0,0,0,0,0,0,0,0,0,262
186,3,3,3,3,3,3,3,3,3,260
187,0,0,0,0,0,0,0,2,1,213
188,1,1,1,1,1,1,1,1,1,100
189,1,1,1,1,1,1,1,1,1,101
190,1,1,1,1,1,1,1,1,1,102
191,1,1,1,1,1,1,1,1,1,118
192,1,1,1,1,1,1,1,1,1,103
193,0,0,0,0,0,0,0,0,0,104
194,3,3,3,3,3,3,3,3,3,105
195,2,2,2,2,2,2,2,2,2,106
196,2,2,2,2,2,2,2,2,2,114
197,2,2,2,1,1,2,1,3,2,114
198,2,2,2,2,2,2,2,2,2,118
199,1,1,1,1,1,1,1,1,1,107
200,2,0,0,1,1,2,1,3,0,108
201,1,1,1,1,1,1,1,1,1,109
202,2,0,2,1,1,2,2,2,0,114
203,2,2,2,2,2,2,2,2,2,118
204,2,2,2,2,2,2,2,2,2,110
205,2,2,2,2,2,2,2,2,2,111
206,1,1,1,1,1,1,1,1,1,114
207,2,2,2,2,2,2,2,2,2,112
208,2,2,2,1,1,2,2,2,2,190
209,2,2,2,2,2,2,2,2,2,113
210,1,1,1,1,1,1,1,1,1,118
211,1,1,1,1,1,1,1,1,1,114
212,2,2,2,2,2,2,2,2,2,190
213,2,2,2,2,2,2,2,2,0,115
214,4,4,3,2,3,3,3,0,2,116
215,4,4,3,2,3,3,3,0,2,262
216,2,0,0,2,2,2,2,2,2,262
217,2,0,0,1,1,2,1,3,2,117
218,1,1,1,1,1,1,1,1,1,118
219,1,1,1,1,1,1,1,1,1,118
220,0,0,0,0,0,0,0,0,0,119
221,1,1,1,1,1,1,1,1,1,100
222,1,1,1,1,1,1,1,1,1,120
223,1,1,1,1,1,1,1,1,1,121
224,1,1,1,1,1,1,1,1,1,122
225,2,0,0,1,1,2,1,3,2,123
226,1,1,1,1,1,1,1,1,1,124
227,1,1,1,1,1,1,1,1,1,125
