"Character Id: 1444, Name: Storm"	Number of Issues: 4327					
issue_id	publish_year	publish_month	super_url	icon_url	super_url	icon_url
18598	1978	6	http://media.comicvine.com/uploads/0/4/16695-2133-18598-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/16695-2133-18598-1-x-men_icon.jpg	16695-2133-18598-1-x-men_super.jpg	16695-2133-18598-1-x-men_icon.jpg
18757	1978	8	http://media.comicvine.com/uploads/0/4/16839-2133-18757-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/16839-2133-18757-1-x-men_icon.jpg	16839-2133-18757-1-x-men_super.jpg	16839-2133-18757-1-x-men_icon.jpg
18837	1978	9	http://media.comicvine.com/uploads/0/4/16913-2133-18837-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/16913-2133-18837-1-x-men_icon.jpg	16913-2133-18837-1-x-men_super.jpg	16913-2133-18837-1-x-men_icon.jpg
18916	1978	10	http://media.comicvine.com/uploads/0/4/16985-2133-18916-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/16985-2133-18916-1-x-men_icon.jpg	16985-2133-18916-1-x-men_super.jpg	16985-2133-18916-1-x-men_icon.jpg
18985	1978	11	http://media.comicvine.com/uploads/10/108657/2198611-x_men__115__1978__super.jpg	http://media.comicvine.com/uploads/10/108657/2198611-x_men__115__1978__icon.jpg	2198611-x_men__115__1978__super.jpg	2198611-x_men__115__1978__icon.jpg
19060	1978	12	http://media.comicvine.com/uploads/10/108657/2198613-x_men__116__1978__super.jpg	http://media.comicvine.com/uploads/10/108657/2198613-x_men__116__1978__icon.jpg	2198613-x_men__116__1978__super.jpg	2198613-x_men__116__1978__icon.jpg
19210	1979	1	http://media.comicvine.com/uploads/0/4/17206-2133-19210-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/17206-2133-19210-1-x-men_icon.jpg	17206-2133-19210-1-x-men_super.jpg	17206-2133-19210-1-x-men_icon.jpg
138857	1979	1	http://media.comicvine.com/uploads/0/5586/543186-x3_super.jpg	http://media.comicvine.com/uploads/0/5586/543186-x3_icon.jpg	543186-x3_super.jpg	543186-x3_icon.jpg
19317	1979	2	http://media.comicvine.com/uploads/0/4/17275-2133-19317-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/17275-2133-19317-1-x-men_icon.jpg	17275-2133-19317-1-x-men_super.jpg	17275-2133-19317-1-x-men_icon.jpg
19386	1979	3	http://media.comicvine.com/uploads/0/4/17337-2133-19386-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/17337-2133-19386-1-x-men_icon.jpg	17337-2133-19386-1-x-men_super.jpg	17337-2133-19386-1-x-men_icon.jpg
224059	1979	3	http://media.comicvine.com/uploads/5/50876/1295645-rampage9_super.jpg	http://media.comicvine.com/uploads/5/50876/1295645-rampage9_icon.jpg	1295645-rampage9_super.jpg	1295645-rampage9_icon.jpg
19455	1979	4	http://media.comicvine.com/uploads/0/4/17400-2133-19455-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/17400-2133-19455-1-x-men_icon.jpg	17400-2133-19455-1-x-men_super.jpg	17400-2133-19455-1-x-men_icon.jpg
19525	1979	5	http://media.comicvine.com/uploads/0/4/17462-2133-19525-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/17462-2133-19525-1-x-men_icon.jpg	17462-2133-19525-1-x-men_super.jpg	17462-2133-19525-1-x-men_icon.jpg
19592	1979	6	http://media.comicvine.com/uploads/0/4/17522-2133-19592-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/17522-2133-19592-1-x-men_icon.jpg	17522-2133-19592-1-x-men_super.jpg	17522-2133-19592-1-x-men_icon.jpg
19584	1979	6	http://media.comicvine.com/uploads/0/4/17514-2959-19584-1-power-man-and-iron-f_super.jpg	http://media.comicvine.com/uploads/0/4/17514-2959-19584-1-power-man-and-iron-f_icon.jpg	17514-2959-19584-1-power-man-and-iron-f_super.jpg	17514-2959-19584-1-power-man-and-iron-f_icon.jpg
123628	1979	7	http://media.comicvine.com/uploads/1/16281/314788-2133-123628-1-x-men_super.jpg	http://media.comicvine.com/uploads/1/16281/314788-2133-123628-1-x-men_icon.jpg	314788-2133-123628-1-x-men_super.jpg	314788-2133-123628-1-x-men_icon.jpg
19726	1979	8	http://media.comicvine.com/uploads/0/4/17645-2133-19726-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/17645-2133-19726-1-x-men_icon.jpg	17645-2133-19726-1-x-men_super.jpg	17645-2133-19726-1-x-men_icon.jpg
19794	1979	9	http://media.comicvine.com/uploads/0/4/17709-2133-19794-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/17709-2133-19794-1-x-men_icon.jpg	17709-2133-19794-1-x-men_super.jpg	17709-2133-19794-1-x-men_icon.jpg
19865	1979	10	http://media.comicvine.com/uploads/0/4/17774-2133-19865-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/17774-2133-19865-1-x-men_icon.jpg	17774-2133-19865-1-x-men_super.jpg	17774-2133-19865-1-x-men_icon.jpg
19934	1979	11	http://media.comicvine.com/uploads/0/4/17835-2133-19934-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/17835-2133-19934-1-x-men_icon.jpg	17835-2133-19934-1-x-men_super.jpg	17835-2133-19934-1-x-men_icon.jpg
19924	1979	11	http://media.comicvine.com/uploads/0/4/17825-3007-19924-1-marvel-spotlight_super.jpg	http://media.comicvine.com/uploads/0/4/17825-3007-19924-1-marvel-spotlight_icon.jpg	17825-3007-19924-1-marvel-spotlight_super.jpg	17825-3007-19924-1-marvel-spotlight_icon.jpg
20006	1979	12	http://media.comicvine.com/uploads/0/4/17902-2133-20006-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/17902-2133-20006-1-x-men_icon.jpg	17902-2133-20006-1-x-men_super.jpg	17902-2133-20006-1-x-men_icon.jpg
20114	1980	1	http://media.comicvine.com/uploads/0/4/17980-2133-20114-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/17980-2133-20114-1-x-men_icon.jpg	17980-2133-20114-1-x-men_super.jpg	17980-2133-20114-1-x-men_icon.jpg
136137	1980	1	http://media.comicvine.com/uploads/2/25807/510215-uncannyannual4_super.jpg	http://media.comicvine.com/uploads/2/25807/510215-uncannyannual4_icon.jpg	510215-uncannyannual4_super.jpg	510215-uncannyannual4_icon.jpg
20186	1980	2	http://media.comicvine.com/uploads/0/4/18046-2133-20186-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/18046-2133-20186-1-x-men_icon.jpg	18046-2133-20186-1-x-men_super.jpg	18046-2133-20186-1-x-men_icon.jpg
20258	1980	3	http://media.comicvine.com/uploads/0/4/18107-2133-20258-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/18107-2133-20258-1-x-men_icon.jpg	18107-2133-20258-1-x-men_super.jpg	18107-2133-20258-1-x-men_icon.jpg
20333	1980	4	http://media.comicvine.com/uploads/0/4/18175-2133-20333-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/18175-2133-20333-1-x-men_icon.jpg	18175-2133-20333-1-x-men_super.jpg	18175-2133-20333-1-x-men_icon.jpg
20403	1980	5	http://media.comicvine.com/uploads/0/4/18237-2133-20403-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/18237-2133-20403-1-x-men_icon.jpg	18237-2133-20403-1-x-men_super.jpg	18237-2133-20403-1-x-men_icon.jpg
20477	1980	6	http://media.comicvine.com/uploads/0/4/18303-2133-20477-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/18303-2133-20477-1-x-men_icon.jpg	18303-2133-20477-1-x-men_super.jpg	18303-2133-20477-1-x-men_icon.jpg
20546	1980	7	http://media.comicvine.com/uploads/0/4/18371-2133-20546-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/18371-2133-20546-1-x-men_icon.jpg	18371-2133-20546-1-x-men_super.jpg	18371-2133-20546-1-x-men_icon.jpg
66617	1980	7	http://media.comicvine.com/uploads/0/4/50808-3004-66617-1-fun-and-games-magazi_super.jpg	http://media.comicvine.com/uploads/0/4/50808-3004-66617-1-fun-and-games-magazi_icon.jpg	50808-3004-66617-1-fun-and-games-magazi_super.jpg	50808-3004-66617-1-fun-and-games-magazi_icon.jpg
20613	1980	8	http://media.comicvine.com/uploads/0/4/18431-2133-20613-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/18431-2133-20613-1-x-men_icon.jpg	18431-2133-20613-1-x-men_super.jpg	18431-2133-20613-1-x-men_icon.jpg
20681	1980	9	http://media.comicvine.com/uploads/0/4/18493-2133-20681-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/18493-2133-20681-1-x-men_icon.jpg	18493-2133-20681-1-x-men_super.jpg	18493-2133-20681-1-x-men_icon.jpg
20751	1980	10	http://media.comicvine.com/uploads/0/4/18554-2133-20751-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/18554-2133-20751-1-x-men_icon.jpg	18554-2133-20751-1-x-men_super.jpg	18554-2133-20751-1-x-men_icon.jpg
20812	1980	11	http://media.comicvine.com/uploads/0/4/18611-2133-20812-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/18611-2133-20812-1-x-men_icon.jpg	18611-2133-20812-1-x-men_super.jpg	18611-2133-20812-1-x-men_icon.jpg
20800	1980	11	http://media.comicvine.com/uploads/0/4/18599-2696-20800-1-marvel-two-in-one_super.jpg	http://media.comicvine.com/uploads/0/4/18599-2696-20800-1-marvel-two-in-one_icon.jpg	18599-2696-20800-1-marvel-two-in-one_super.jpg	18599-2696-20800-1-marvel-two-in-one_icon.jpg
20884	1980	12	http://media.comicvine.com/uploads/0/4/18678-2133-20884-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/18678-2133-20884-1-x-men_icon.jpg	18678-2133-20884-1-x-men_super.jpg	18678-2133-20884-1-x-men_icon.jpg
