"Character Id: 40454, Name: Hellion"	Number of Issues: 605					
issue_id	publish_year	publish_month	super_url	icon_url	super_url	icon_url
106281	2005	7	http://media.comicvine.com/uploads/0/77/89410-18078-106281-1-new-x-men-vol-2_super.jpg	http://media.comicvine.com/uploads/0/77/89410-18078-106281-1-new-x-men-vol-2_icon.jpg	89410-18078-106281-1-new-x-men-vol-2_super.jpg	89410-18078-106281-1-new-x-men-vol-2_icon.jpg
106292	2005	8	http://media.comicvine.com/uploads/0/77/89412-18078-106292-1-new-x-men-vol-2_super.jpg	http://media.comicvine.com/uploads/0/77/89412-18078-106292-1-new-x-men-vol-2_icon.jpg	89412-18078-106292-1-new-x-men-vol-2_super.jpg	89412-18078-106292-1-new-x-men-vol-2_icon.jpg
106294	2005	10	http://media.comicvine.com/uploads/0/77/89414-18078-106294-1-new-x-men-vol-2_super.jpg	http://media.comicvine.com/uploads/0/77/89414-18078-106294-1-new-x-men-vol-2_icon.jpg	89414-18078-106294-1-new-x-men-vol-2_super.jpg	89414-18078-106294-1-new-x-men-vol-2_icon.jpg
106295	2005	11	http://media.comicvine.com/uploads/0/77/89417-18078-106295-1-new-x-men-vol-2_super.jpg	http://media.comicvine.com/uploads/0/77/89417-18078-106295-1-new-x-men-vol-2_icon.jpg	89417-18078-106295-1-new-x-men-vol-2_super.jpg	89417-18078-106295-1-new-x-men-vol-2_icon.jpg
106296	2005	12	http://media.comicvine.com/uploads/0/77/89420-18078-106296-1-new-x-men-vol-2_super.jpg	http://media.comicvine.com/uploads/0/77/89420-18078-106296-1-new-x-men-vol-2_icon.jpg	89420-18078-106296-1-new-x-men-vol-2_super.jpg	89420-18078-106296-1-new-x-men-vol-2_icon.jpg
106297	2006	1	http://media.comicvine.com/uploads/0/77/89421-18078-106297-1-new-x-men-vol-2_super.jpg	http://media.comicvine.com/uploads/0/77/89421-18078-106297-1-new-x-men-vol-2_icon.jpg	89421-18078-106297-1-new-x-men-vol-2_super.jpg	89421-18078-106297-1-new-x-men-vol-2_icon.jpg
106304	2006	6	http://media.comicvine.com/uploads/0/77/89422-18078-106304-1-new-x-men-vol-2_super.jpg	http://media.comicvine.com/uploads/0/77/89422-18078-106304-1-new-x-men-vol-2_icon.jpg	89422-18078-106304-1-new-x-men-vol-2_super.jpg	89422-18078-106304-1-new-x-men-vol-2_icon.jpg
106307	2005	10	http://media.comicvine.com/uploads/0/77/89409-18147-106307-1-new-x-men-academy-x_super.jpg	http://media.comicvine.com/uploads/0/77/89409-18147-106307-1-new-x-men-academy-x_icon.jpg	89409-18147-106307-1-new-x-men-academy-x_super.jpg	89409-18147-106307-1-new-x-men-academy-x_icon.jpg
106341	2006	9	http://media.comicvine.com/uploads/0/787/89887-18130-106341-1-wolverine-origins_super.jpg	http://media.comicvine.com/uploads/0/787/89887-18130-106341-1-wolverine-origins_icon.jpg	89887-18130-106341-1-wolverine-origins_super.jpg	89887-18130-106341-1-wolverine-origins_icon.jpg
106343	2006	7	http://media.comicvine.com/uploads/0/77/89903-18078-106343-1-new-x-men-vol-2_super.jpg	http://media.comicvine.com/uploads/0/77/89903-18078-106343-1-new-x-men-vol-2_icon.jpg	89903-18078-106343-1-new-x-men-vol-2_super.jpg	89903-18078-106343-1-new-x-men-vol-2_icon.jpg
106344	2006	8	http://media.comicvine.com/uploads/0/77/89904-18078-106344-1-new-x-men-vol-2_super.jpg	http://media.comicvine.com/uploads/0/77/89904-18078-106344-1-new-x-men-vol-2_icon.jpg	89904-18078-106344-1-new-x-men-vol-2_super.jpg	89904-18078-106344-1-new-x-men-vol-2_icon.jpg
106345	2006	9	http://media.comicvine.com/uploads/0/77/89920-18078-106345-1-new-x-men-vol-2_super.jpg	http://media.comicvine.com/uploads/0/77/89920-18078-106345-1-new-x-men-vol-2_icon.jpg	89920-18078-106345-1-new-x-men-vol-2_super.jpg	89920-18078-106345-1-new-x-men-vol-2_icon.jpg
106346	2006	10	http://media.comicvine.com/uploads/0/77/89923-18078-106346-1-new-x-men-vol-2_super.jpg	http://media.comicvine.com/uploads/0/77/89923-18078-106346-1-new-x-men-vol-2_icon.jpg	89923-18078-106346-1-new-x-men-vol-2_super.jpg	89923-18078-106346-1-new-x-men-vol-2_icon.jpg
106356	2006	10	http://media.comicvine.com/uploads/0/787/90102-18130-106356-1-wolverine-origins_super.jpg	http://media.comicvine.com/uploads/0/787/90102-18130-106356-1-wolverine-origins_icon.jpg	90102-18130-106356-1-wolverine-origins_super.jpg	90102-18130-106356-1-wolverine-origins_icon.jpg
106357	2006	11	http://media.comicvine.com/uploads/0/77/90126-18078-106357-1-new-x-men-vol-2_super.jpg	http://media.comicvine.com/uploads/0/77/90126-18078-106357-1-new-x-men-vol-2_icon.jpg	90126-18078-106357-1-new-x-men-vol-2_super.jpg	90126-18078-106357-1-new-x-men-vol-2_icon.jpg
106358	2006	12	http://media.comicvine.com/uploads/0/77/90127-18078-106358-1-new-x-men-vol-2_super.jpg	http://media.comicvine.com/uploads/0/77/90127-18078-106358-1-new-x-men-vol-2_icon.jpg	90127-18078-106358-1-new-x-men-vol-2_super.jpg	90127-18078-106358-1-new-x-men-vol-2_icon.jpg
106359	2007	1	http://media.comicvine.com/uploads/0/77/90128-18078-106359-1-new-x-men-vol-2_super.jpg	http://media.comicvine.com/uploads/0/77/90128-18078-106359-1-new-x-men-vol-2_icon.jpg	90128-18078-106359-1-new-x-men-vol-2_super.jpg	90128-18078-106359-1-new-x-men-vol-2_icon.jpg
106415	2005	5	http://media.comicvine.com/uploads/0/77/90748-18173-106415-1-new-x-men-hellions_super.jpg	http://media.comicvine.com/uploads/0/77/90748-18173-106415-1-new-x-men-hellions_icon.jpg	90748-18173-106415-1-new-x-men-hellions_super.jpg	90748-18173-106415-1-new-x-men-hellions_icon.jpg
106424	2005	6	http://media.comicvine.com/uploads/0/77/90844-18173-106424-1-new-x-men-hellions_super.jpg	http://media.comicvine.com/uploads/0/77/90844-18173-106424-1-new-x-men-hellions_icon.jpg	90844-18173-106424-1-new-x-men-hellions_super.jpg	90844-18173-106424-1-new-x-men-hellions_icon.jpg
106425	2005	7	http://media.comicvine.com/uploads/0/77/90846-18173-106425-1-new-x-men-hellions_super.jpg	http://media.comicvine.com/uploads/0/77/90846-18173-106425-1-new-x-men-hellions_icon.jpg	90846-18173-106425-1-new-x-men-hellions_super.jpg	90846-18173-106425-1-new-x-men-hellions_icon.jpg
106426	2005	8	http://media.comicvine.com/uploads/0/77/90847-18173-106426-1-new-x-men-hellions_super.jpg	http://media.comicvine.com/uploads/0/77/90847-18173-106426-1-new-x-men-hellions_icon.jpg	90847-18173-106426-1-new-x-men-hellions_super.jpg	90847-18173-106426-1-new-x-men-hellions_icon.jpg
106500	2007	4	http://media.comicvine.com/uploads/0/40/91646-18078-106500-1-new-x-men-vol-2_super.jpg	http://media.comicvine.com/uploads/0/40/91646-18078-106500-1-new-x-men-vol-2_icon.jpg	91646-18078-106500-1-new-x-men-vol-2_super.jpg	91646-18078-106500-1-new-x-men-vol-2_icon.jpg
106930	2007	5	http://media.comicvine.com/uploads/0/40/98734-18078-106930-1-new-x-men-vol-2_super.jpg	http://media.comicvine.com/uploads/0/40/98734-18078-106930-1-new-x-men-vol-2_icon.jpg	98734-18078-106930-1-new-x-men-vol-2_super.jpg	98734-18078-106930-1-new-x-men-vol-2_icon.jpg
