"Character Id: 1464, Name: Iceman"	Number of Issues: 3517						
issue_id	publish_year	publish_month	publish_day	super_url	icon_url	super_url	icon_url
8375	1966	2	-1	http://media.comicvine.com/uploads/0/4/7595-2133-8375-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/7595-2133-8375-1-x-men_icon.jpg	7595-2133-8375-1-x-men_super.jpg	7595-2133-8375-1-x-men_icon.jpg
8435	1966	3	-1	http://media.comicvine.com/uploads/0/4/7648-2133-8435-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/7648-2133-8435-1-x-men_icon.jpg	7648-2133-8435-1-x-men_super.jpg	7648-2133-8435-1-x-men_icon.jpg
8498	1966	4	-1	http://media.comicvine.com/uploads/0/4/7703-2133-8498-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/7703-2133-8498-1-x-men_icon.jpg	7703-2133-8498-1-x-men_super.jpg	7703-2133-8498-1-x-men_icon.jpg
8553	1966	5	-1	http://media.comicvine.com/uploads/0/4/7751-2133-8553-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/7751-2133-8553-1-x-men_icon.jpg	7751-2133-8553-1-x-men_super.jpg	7751-2133-8553-1-x-men_icon.jpg
8621	1966	6	-1	http://media.comicvine.com/uploads/0/4/7813-2133-8621-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/7813-2133-8621-1-x-men_icon.jpg	7813-2133-8621-1-x-men_super.jpg	7813-2133-8621-1-x-men_icon.jpg
8674	1966	7	-1	http://media.comicvine.com/uploads/0/4/7859-2133-8674-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/7859-2133-8674-1-x-men_icon.jpg	7859-2133-8674-1-x-men_super.jpg	7859-2133-8674-1-x-men_icon.jpg
8740	1966	8	-1	http://media.comicvine.com/uploads/0/4/7917-2133-8740-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/7917-2133-8740-1-x-men_icon.jpg	7917-2133-8740-1-x-men_super.jpg	7917-2133-8740-1-x-men_icon.jpg
8819	1966	9	-1	http://media.comicvine.com/uploads/0/4/7989-2133-8819-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/7989-2133-8819-1-x-men_icon.jpg	7989-2133-8819-1-x-men_super.jpg	7989-2133-8819-1-x-men_icon.jpg
8885	1966	10	-1	http://media.comicvine.com/uploads/0/4/8049-2133-8885-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/8049-2133-8885-1-x-men_icon.jpg	8049-2133-8885-1-x-men_super.jpg	8049-2133-8885-1-x-men_icon.jpg
8951	1966	11	-1	http://media.comicvine.com/uploads/0/4/8108-2133-8951-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/8108-2133-8951-1-x-men_icon.jpg	8108-2133-8951-1-x-men_super.jpg	8108-2133-8951-1-x-men_icon.jpg
9025	1966	12	-1	http://media.comicvine.com/uploads/0/4/8175-2133-9025-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/8175-2133-9025-1-x-men_icon.jpg	8175-2133-9025-1-x-men_super.jpg	8175-2133-9025-1-x-men_icon.jpg
9098	1967	1	-1	http://media.comicvine.com/uploads/0/4/8240-2133-9098-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/8240-2133-9098-1-x-men_icon.jpg	8240-2133-9098-1-x-men_super.jpg	8240-2133-9098-1-x-men_icon.jpg
9162	1967	2	-1	http://media.comicvine.com/uploads/0/4/8297-2133-9162-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/8297-2133-9162-1-x-men_icon.jpg	8297-2133-9162-1-x-men_super.jpg	8297-2133-9162-1-x-men_icon.jpg
255017	1967	2	18	http://media.comicvine.com/uploads/8/80602/1605012-fantastic_10_super.jpg	http://media.comicvine.com/uploads/8/80602/1605012-fantastic_10_icon.jpg	1605012-fantastic_10_super.jpg	1605012-fantastic_10_icon.jpg
9234	1967	3	-1	http://media.comicvine.com/uploads/0/4/8363-2133-9234-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/8363-2133-9234-1-x-men_icon.jpg	8363-2133-9234-1-x-men_super.jpg	8363-2133-9234-1-x-men_icon.jpg
9302	1967	4	-1	http://media.comicvine.com/uploads/0/4/8426-2133-9302-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/8426-2133-9302-1-x-men_icon.jpg	8426-2133-9302-1-x-men_super.jpg	8426-2133-9302-1-x-men_icon.jpg
9364	1967	5	-1	http://media.comicvine.com/uploads/0/4/8482-2133-9364-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/8482-2133-9364-1-x-men_icon.jpg	8482-2133-9364-1-x-men_super.jpg	8482-2133-9364-1-x-men_icon.jpg
111072	1967	5	-1	http://media.comicvine.com/uploads/6/67397/2199709-156_super.jpg	http://media.comicvine.com/uploads/6/67397/2199709-156_icon.jpg	2199709-156_super.jpg	2199709-156_icon.jpg
9434	1967	6	-1	http://media.comicvine.com/uploads/0/4/8547-2133-9434-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/8547-2133-9434-1-x-men_icon.jpg	8547-2133-9434-1-x-men_super.jpg	8547-2133-9434-1-x-men_icon.jpg
