Split_Second_(1992), Tony_Maylam, Rutger_Hauer, Kim_Cattrall, Alastair_Duncan, Michael_J._Pollard
Predator_2_(1990), Stephen_Hopkins, Danny_Glover, Gary_Busey, Kevin_Peter_Hall, Rubén_Blades
Escape_from_the_Planet_of_the_Apes_(1971), Don_Taylor, Roddy_McDowall, Kim_Hunter, Bradford_Dillman, Natalie_Trundy
Impostor_(2001), Gary_Fleder, Shane_Brolly, Vincent_D'Onofrio, Gary_Sinise, Madeleine_Stowe
Next_(2007), Lee_Tamahori, Nicolas_Cage, Julianne_Moore, Jessica_Biel, Thomas_Kretschmann
Knowing_(2009), Alex_Proyas, Nicolas_Cage, Chandler_Canterbury, Rose_Byrne, Lara_Robinson
Mad_Max_Beyond_Thunderdome_(1985), George_Miller, George_Ogilvie, Mel_Gibson, Tina_Turner, Bruce_Spence, Adam_Cockburn
Superman_Returns_(2006), Bryan_Singer, Brandon_Routh, Kevin_Spacey, Kate_Bosworth, James_Marsden
Reign_of_Fire_(2002), Rob_Bowman, Matthew_McConaughey, Christian_Bale, Izabella_Scorupco, Gerard_Butler
The_Saint_(1997), Phillip_Noyce, Val_Kilmer, Elisabeth_Shue, Rade_Serbedzija, Valeriy_Nikolaev
The_Crazies_(1973), George_A._Romero, Lane_Carroll, Will_MacMillan, Harold_Wayne_Jones, Lloyd_Hollar
Resident_Evil:_Apocalypse_(2004), Alexander_Witt, Milla_Jovovich, Sienna_Guillory, Eric_Mabius, Oded_Fehr
Terminal_Legacy_(2012), Brian_Kazmarck, Cuyle_Carvin, Kazy_Tauginas, Whitney_Kirk, Victor_Verhaeghe
Push_(2009), Paul_McGuigan, Camilla_Belle, Dakota_Fanning, Chris_Evans, Colin_Ford
Zathura:_A_Space_Adventure_(2005), Jon_Favreau, Josh_Hutcherson, Jonah_Bobo, Dax_Shepard, Tim_Robbins
Sky_Captain_and_the_World_of_Tomorrow_(2004), Kerry_Conran, Gwyneth_Paltrow, Jude_Law, Angelina_Jolie, Giovanni_Ribisi
Lockout_(2012), James_Mather, Stephen_Saint_Leger, Guy_Pearce, Maggie_Grace, Peter_Stormare, Vincent_Regan
Robotrix_(1991), Jamie_Luk, Amy_Yip, Chikako_Aoyama, David_Wu, Billy_Chow
Deep_Impact_(1998), Mimi_Leder, Robert_Duvall, Téa_Leoni, Elijah_Wood, Morgan_Freeman
