Sky High (2005),Mike Mitchell,Kurt Russell,Kelly Preston,Michael Angarano,Danielle Panabaker,
Star Wars: Episode III - Revenge of the Sith (2005),George Lucas,Hayden Christensen,Natalie Portman,Ewan McGregor,Samuel L. Jackson,
War of the Worlds (2005),Steven Spielberg,Tom Cruise,Dakota Fanning,Tim Robbins,Miranda Otto,
Underworld: Evolution (2006),Len Wiseman,Kate Beckinsale,Scott Speedman,Bill Nighy,Tony Curran,
X-Men: The Last Stand (2006),Brett Ratner,Patrick Stewart,Hugh Jackman,Halle Berry,Famke Janssen,
28 Weeks Later (2007),Juan Carlos Fresnadillo,Jeremy Renner,Rose Byrne,Robert Carlyle,Harold Perrineau,
Aliens vs. Predator: Requiem (2007),The Brothers Strause,The Brothers Strause,Reiko Aylesworth,Steven Pasquale,John Ortiz,Johnny Lewis
Fantastic 4: Rise of the Silver Surfer (2007),Tim Story,Ioan Gruffudd,Jessica Alba,Chris Evans,Michael Chiklis,
The Golden Compass (2007),Chris Weitz,Nicole Kidman,Daniel Craig,Dakota Blue Richards,Ben Walker,
Next (2007),Lee Tamahori,Nicolas Cage,Julianne Moore,Jessica Biel,Thomas Kretschmann,
10000 BC (2008),Roland Emmerich,Camilla Belle,Steven Strait,Marco Khan,Cliff Curtis,
City of Ember (2008),Gil Kenan,Saoirse Ronan,Toby Jones,Bill Murray,David Ryall,
Doomsday (2008),Neil Marshall,Rhona Mitra,Bob Hoskins,Alexander Siddig,Caryn Peterson,
The Incredible Hulk (2008),Louis Leterrier,Edward Norton,Liv Tyler,Tim Roth,William Hurt,
Journey to the Center of the Earth (2008),Eric Brevig,Brendan Fraser,Josh Hutcherson,Anita Briem,Seth Meyers,
Star Wars: The Clone Wars (2008),Dave Filoni,Matt Lanter,Nika Futterman,Tom Kane,Ashley Eckstein,
2012 (2009),Roland Emmerich,John Cusack,Thandie Newton,Chiwetel Ejiofor,Amanda Peet,
Avatar (2009),James Cameron,Sam Worthington,Zoe Saldana,Sigourney Weaver,Michelle Rodriguez,
The Box (2009),Richard Kelly,Cameron Diaz,James Marsden,Frank Langella,James Rebhorn,
G.I. Joe: The Rise of Cobra (2009),Stephen Sommers,Dennis Quaid,Channing Tatum,Marlon Wayans,Adewale Akinnuoye-Agbaje,
Knowing (2009),Alex Proyas,Nicolas Cage,Chandler Canterbury,Rose Byrne,Lara Robinson,
Monsters vs. Aliens (2009),Rob Letterman,Conrad Vernon,Reese Witherspoon,Rainn Wilson,Stephen Colbert,Seth Rogen
Pandorum (2009),Christian Alvart,Dennis Quaid,Ben Foster,Cam Gigandet,Antje Traue,
Planet 51 (2009),Jorge Blanco,Javier Abad,Dwayne Johnson,Seann William Scott,Jessica Biel,John Cleese
Race to Witch Mountain (2009),Andy Fickman,Dwayne Johnson,Carla Gugino,AnnaSophia Robb,Alexander Ludwig,
Star Trek (2009),J.J. Abrams,Chris Pine,Zachary Quinto,Simon Pegg,Leonard Nimoy,
