The_Right_Stuff_(1983)	Philip_Kaufman	Sam_Shepard	Scott_Glenn	Ed_Harris	Dennis_Quaid
SDF-1_Macross:_Do_You_Remember_Love?_(1984)	Noboru_Ishiguro	Shôji_Kawamori	Arihiro_Hase	Mari_Iijima	Mika_Doi	Michio_Hazama
Iron_Man_(2008)	Jon_Favreau	Robert_Downey	Gwyneth_Paltrow	Terrence_Howard	Jeff_Bridges
Star_Trek_Into_Darkness_(2013)	J.J._Abrams	Chris_Pine	Zachary_Quinto	Zoe_Saldana	Benedict_Cumberbatch
Eternity_(2013)	Alex_Galvin	Elliot_Travers	Amy_Tsang	Dean_Knowsley	Liz_Kirkman
Sexmission_(1984)	Juliusz_Machulski	Olgierd_Lukaszewicz	Jerzy_Stuhr	Bozena_Stryjkówna	Boguslawa_Pawelec
Strange_Frame:_Love_&_Sax_(2012)	G.B._Hajim	Claudia_Black	Tara_Strong	Ron_Glass	Cree_Summer
E.T._the_Extra-Terrestrial_(1982)	Steven_Spielberg	Henry_Thomas	Drew_Barrymore	Peter_Coyote	Dee_Wallace
Predator_(1987)	John_McTiernan	Arnold_Schwarzenegger	Carl_Weathers	Kevin_Peter_Hall	Elpidia_Carrillo
Batman:_Mask_of_the_Phantasm_(1993)	Eric_Radomski	Bruce_W._Timm	Kevin_Conroy	Dana_Delany	Hart_Bochner	Stacy_Keach
The_Hunger_Games:_Catching_Fire_(2013)	Francis_Lawrence	Jennifer_Lawrence	Josh_Hutcherson	Liam_Hemsworth	Philip_Seymour_Hoffman
Gattaca_(1997)	Andrew_Niccol	Ethan_Hawke	Uma_Thurman	Jude_Law	Gore_Vidal
About_Time_(2013)	Richard_Curtis	Domhnall_Gleeson	Rachel_McAdams	Bill_Nighy	Lydia_Wilson
X-Men:_First_Class_(2011)	Matthew_Vaughn	James_McAvoy	Michael_Fassbender	Jennifer_Lawrence	Kevin_Bacon
Army_of_Frankensteins_(2013)	Ryan_Bellgardt	Jordan_Farris	Christian_Bellgardt	John_Ferguson	Eric_Gesecus
Back_to_the_Future_Part_II_(1989)	Robert_Zemeckis	Michael_J._Fox	Christopher_Lloyd	Lea_Thompson	Thomas_F._Wilson
OXV:_The_Manual_(2013)	Darren_Paul_Fisher	Daniel_Fraser	Eleanor_Wyld	Dylan_Llewellyn	Georgina_Minter-Brown
Dark_City_(1998)	Alex_Proyas	Rufus_Sewell	Kiefer_Sutherland	Jennifer_Connelly	William_Hurt
Vampire_Hunter_D:_Bloodlust_(2000)	Yoshiaki_Kawajiri	Hideyuki_Tanaka	Ichirô_Nagai	Kôichi_Yamadera	Megumi_Hayashibara
